game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,gametype
WS1195406131,"""version 7RS(19) of 07/07/92""",BAL,WS1,1954/06/13,WAS09,1,0:00PM,day,false,mcgob901,papaj901,(none),honoj901,"""  BAL -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/08/25 9:11AM,park,none,0,unknown,-1,unknown,unknown,unknown,148,0,turlb101,mcdem102,fox-h101,,,
WS1195406132,"""version 7RS(19) of 07/07/92""",BAL,WS1,1954/06/13,WAS09,2,0:00PM,day,false,papaj901,honoj901,(none),mcgob901,"""  BAL -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/08/25 9:53AM,park,none,0,unknown,-1,unknown,unknown,unknown,110,11109,portb102,blyzm101,,,,
WS1195407051,"""version 7RS(19) of 07/07/92""",BOS,WS1,1954/07/05,WAS09,1,0:00PM,day,false,honoj901,mcgob901,papaj901,chyln901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/09/07 9:06AM,park,none,0,unknown,-1,wet,drizzle,cloudy,141,0,nixow101,marrc101,,,,
WS1195407052,"""version 7RS(19) of 07/07/92""",BOS,WS1,1954/07/05,WAS09,2,0:00PM,day,false,mcgob901,papaj901,chyln901,honoj901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/09/07 9:37AM,park,none,0,unknown,-1,wet,drizzle,cloudy,125,14514,stobc101,henrb101,,,,
WS1195407060,"""version 7RS(19) of 07/07/92""",PHA,WS1,1954/07/06,WAS09,0,0:00PM,night,false,summb901,soarh901,runge901,mckib901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/09/07 12:20PM,park,none,0,unknown,-1,unknown,unknown,unknown,104,3985,schmj101,tricb101,,,,
WS1195407090,"""version 7RS(19) of 07/07/92""",NYA,WS1,1954/07/09,WAS09,0,0:00PM,night,false,soarh901,runge901,mckib901,summb901,"""  Senators""","""Jim Jerdman""","""Jim Herdman""",1996/09/07 1:11PM,park,none,0,unknown,-1,unknown,unknown,unknown,150,14268,kuzab101,stond102,sainj101,,,
WS1195407100,"""version 7RS(19) of 07/07/92""",NYA,WS1,1954/07/10,WAS09,0,0:00PM,night,false,runge901,mckib901,summb901,soarh901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/09/07 1:49PM,park,none,0,unknown,-1,unknown,unknown,unknown,174,19866,wiesb101,portb102,fordw101,,,
WS1195407110,"""version 7RS(19) of 07/07/92""",NYA,WS1,1954/07/11,WAS09,0,0:00PM,day,false,mckib901,summb901,soarh901,runge901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/09/07 7:52PM,park,none,0,unknown,-1,unknown,unknown,unknown,160,12117,grimb102,mcdem102,sainj101,,,
WS1195407150,"""version 7RS(19) of 07/07/92""",CHA,WS1,1954/07/15,WAS09,0,0:00PM,night,false,grieb901,papaj901,umonf901,hurle901,"""  CHA -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/08 6:28AM,park,none,0,unknown,-1,unknown,unknown,unknown,115,7835,schmj101,keegb101,,,,
WS1195407160,"""version 7RS(19) of 07/07/92""",CHA,WS1,1954/07/16,WAS09,0,0:00PM,night,false,papaj901,umonf901,hurle901,grieb901,"""  CHA -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/08 7:35AM,park,none,0,unknown,-1,unknown,unknown,unknown,117,6891,conss101,stond102,,,,
WS1195407170,"""version 7RS(19) of 07/07/92""",CHA,WS1,1954/07/17,WAS09,0,0:00PM,day,false,umonf901,hurle901,grieb901,papaj901,"""  CHA -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/08 8:13AM,park,none,0,unknown,-1,unknown,unknown,unknown,109,4820,portb102,pierb101,,,,
WS1195407181,"""version 7RS(19) of 07/07/92""",CLE,WS1,1954/07/18,WAS09,1,0:00PM,day,false,hurle901,grieb901,papaj901,umonf901,"""  CLE -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/08 4:47PM,park,none,0,unknown,-1,unknown,unknown,unknown,150,0,stobc101,houta101,,,,
WS1195407182,"""version 7RS(19) of 07/07/92""",CLE,WS1,1954/07/18,WAS09,2,0:00PM,day,false,grieb901,papaj901,umonf901,hurle901,"""  CLE -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/08 7:16PM,park,none,0,unknown,-1,unknown,unknown,unknown,164,19983,mossd101,mcdem102,newhh101,,,
WS1195407190,"""version 7RS(19) of 07/07/92""",CLE,WS1,1954/07/19,WAS09,0,0:00PM,day,false,papaj901,umonf901,hurle901,grieb901,"""  CLE -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/08 9:16PM,park,none,0,unknown,-1,unknown,unknown,unknown,153,2220,wynne101,sheas101,narlr101,,,
WS1195407200,"""version 7RS(19) of 07/07/92""",BAL,WS1,1954/07/20,WAS09,0,0:00PM,night,false,stevj901,chyln901,(none),berrc103,"""  BAL -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/10 9:19PM,park,none,0,unknown,-1,unknown,unknown,unknown,111,4390,schmj101,colej101,,,,
WS1195407210,"""version 7RS(19) of 07/07/92""",BAL,WS1,1954/07/21,WAS09,0,0:00PM,night,false,chyln901,berrc103,(none),stevj901,"""  BAL -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/10 9:53PM,park,none,0,unknown,-1,unknown,unknown,unknown,145,2607,pascc102,larsd102,,,,
WS1195407220,"""version 7RS(19) of 07/07/92""",BAL,WS1,1954/07/22,WAS09,0,0:00PM,night,false,berrc103,stevj901,(none),chyln901,"""  BAL -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/14 12:20PM,park,none,0,unknown,-1,unknown,unknown,unknown,125,4308,kerig101,kretl101,,,,
WS1195407230,"""version 7RS(19) of 07/07/92""",DET,WS1,1954/07/23,WAS09,0,0:00PM,night,false,stevj901,hurle901,(none),chyln901,"""  DET -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/14 1:14PM,park,none,0,unknown,-1,unknown,unknown,unknown,123,4353,stobc101,abera101,,,,
WS1195407240,"""version 7RS(19) of 07/07/92""",DET,WS1,1954/07/24,WAS09,0,0:00PM,night,false,hurle901,chyln901,(none),stevj901,"""  DET -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/14 7:06PM,park,none,0,unknown,-1,unknown,unknown,unknown,150,4508,stond102,hoefb101,,,,
WS1195407250,"""version 7RS(19) of 07/07/92""",DET,WS1,1954/07/25,WAS09,0,0:00PM,day,false,chyln901,papaj901,stevj901,hurle901,"""  DET -- WS1""","""Jim Herdman""","""Jim Herdman""",1996/09/14 7:53PM,park,none,0,unknown,-1,unknown,unknown,unknown,148,6183,sheas101,grayt101,,,,
WS1195408130,"""version 7RS(19) of 07/07/92""",PHA,WS1,1954/08/13,WAS09,0,0:00PM,night,false,grieb901,hurle901,(none),umonf901,"""  Senators""","""Jim Herdman""","""Jim Herdman""",1996/10/12 5:35PM,park,none,0,unknown,-1,unknown,unknown,unknown,147,3812,fricm101,pascc102,burtm101,,,
