game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,umplf,umprf
BSN195008090,"""version 7RS(19) of 07/07/92""",NY1,BSN,1950/08/09,BOS08,0,0:00PM,day,false,warnl101,barla901,(none),donaa901,"""115""","""Bob Kistler""","""Greg Beston""",1994/03/20 10:48AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,119,10367,chipb101,hearj102,,,,,
BSN195008100,"""version 7RS(19) of 07/07/92""",BRO,BSN,1950/08/10,BOS08,0,0:00PM,night,false,jordl901,goetl901,(none),dascf901,"""ALLAN ROTH""","""GORD GLADMAN/RWood""","""GORD GLADMAN/RWood""",1994/12/11 2:32PM,park,pitches,0,unknown,-1,unknown,unknown,unknown,149,24758,roe-p101,sainj101,bankd101,,,,
BSN195008110,"""version 7RS(19) of 07/07/92""",BRO,BSN,1950/08/11,BOS08,0,0:00PM,night,false,goetl901,dascf901,(none),jordl901,"""ALLAN ROTH""","""GORD GLADMAN""","""GORD GLADMAN""",1994/12/11 2:57PM,park,pitches,0,unknown,-1,unknown,unknown,unknown,125,29008,bickv101,erskc101,,,,,
BSN195008120,"""version 7RS(19) of 07/07/92""",BRO,BSN,1950/08/12,BOS08,0,0:00PM,night,false,dascf901,jordl901,(none),goetl901,"""ALLAN ROTH""","""GORD GLADMAN""","""GORD GLADMAN""",1994/12/11 3:23PM,park,pitches,0,unknown,-1,unknown,unknown,unknown,154,34732,spahw101,newcd101,,,,,
BSN195008130,"""version 7RS(19) of 07/07/92""",BRO,BSN,1950/08/13,BOS08,0,0:00PM,day,false,jordl901,goetl901,(none),dascf901,"""ALLAN ROTH""","""GORD GLADMAN""","""GORD GLADMAN""",1994/12/11 6:08PM,park,pitches,0,unknown,-1,unknown,unknown,unknown,128,26501,palie101,chipb101,,,,,
BSN195009010,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/09/01,BOS08,0,0:00PM,night,false,gorea901,stewb901,(none),conlj102,"""150""","""Comly""","""Comly""",2000/10/05 9:18PM,park,none,0,unknown,-1,unknown,unknown,unknown,124,14908,churb101,surkm101,,,,,
BSN195009020,"""version 7RS(19) of 07/07/92""",PHI,BSN,1950/09/02,BOS08,0,0:00PM,night,false,stewb901,conlj102,(none),gorea901,"""115.119""","""Bob Kistler/Smith""","""Greg Beston/Smith""",1994/03/20 6:10PM,unknown,none,0,unknown,-1,unknown,unknown,night,129,17230,simmc101,sainj101,,,,,
BSN195009041,"""version 7RS(19) of 07/07/92""",BRO,BSN,1950/09/04,BOS08,1,0:00PM,day,false,conlj102,gorea901,(none),stewb901,"""YOUNG/ROSENTHAL""","""GORD GLADMAN""","""GORD GLADMAN""",1994/12/20 9:38PM,park,none,0,unknown,-1,unknown,unknown,unknown,150,0,bickv101,erskc101,,,,,
BSN195009042,"""version 7RS(19) of 07/07/92""",BRO,BSN,1950/09/04,BOS08,2,0:00PM,day,false,gorea901,stewb901,(none),conlj102,"""YOUNG/ROSENTHAL""","""GORD GLADMAN""","""GORD GLADMAN""",1994/12/20 9:52PM,park,none,0,unknown,-1,unknown,unknown,unknown,138,25340,spahw101,branr103,,,,,
BSN195009130,"""version 7RS(19) of 07/07/92""",CHN,BSN,1950/09/13,BOS08,0,0:00PM,night,false,conlj102,gorea901,(none),stewb901,"""241""","""Comly""","""Comly""",2009/08/13 8:38PM,unknown,none,0,unknown,-1,unknown,unknown,night,139,4280,spahw101,minnp101,,,,,
