game_id,visteam,hometeam,site,date,number,starttime,daynight,innings,tiebreaker,usedh,umphome,ump1b,ump2b,ump3b,umplf,umprf,inputtime,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
TOR202208160,BAL,TOR,TOR02,2022/08/16,0,7:07PM,night,9,2,true,emmep901,moorm901,hobep901,segac901,(none),(none),2022/10/09 09:01:53,unknown,pitches,lajor701,76,fromcf,6,unknown,none,cloudy,174,37940,kremd001,manoa001,bautf001,
TOR202208170,BAL,TOR,TOR02,2022/08/17,0,3:07PM,day,9,2,true,moorm901,hobep901,segac901,emmep901,(none),(none),2022/09/26 06:26:34,unknown,pitches,starh701,68,unknown,0,unknown,none,dome,167,40141,garcy001,krehj001,,
TOR202208260,ANA,TOR,TOR02,2022/08/26,0,7:07PM,night,9,2,true,muchm901,lives901,libkj901,reynj901,(none),(none),2022/09/26 06:26:45,unknown,pitches,lajor701,71,fromcf,21,unknown,none,sunny,200,40754,detmr001,whitm004,,
TOR202208270,ANA,TOR,TOR02,2022/08/27,0,3:07PM,day,9,2,true,lives901,libkj901,reynj901,muchm901,(none),(none),2022/09/26 06:26:46,unknown,pitches,lajor701,72,rtol,7,unknown,none,sunny,200,45311,ohtas001,manoa001,hergj001,
TOR202208280,ANA,TOR,TOR02,2022/08/28,0,1:37PM,day,9,2,true,libkj901,reynj901,muchm901,lives901,(none),(none),2022/09/26 06:26:47,unknown,pitches,moreh701,77,fromlf,8,unknown,none,sunny,196,44318,wanta001,strir001,,
TOR202208290,CHN,TOR,TOR02,2022/08/29,0,7:07PM,night,9,2,true,onorb901,fairc901,mahrn901,gibsh902,(none),(none),2022/09/26 06:26:48,unknown,pitches,lajor701,68,unknown,0,unknown,none,dome,223,26473,garcy001,leitm002,,
TOR202208300,CHN,TOR,TOR02,2022/08/30,0,7:07PM,night,9,2,true,fairc901,mahrn901,gibsh902,onorb901,(none),(none),2022/09/26 06:26:49,unknown,pitches,moreh701,75,ltor,10,unknown,none,cloudy,183,33759,gausk001,littb002,romaj004,
TOR202208310,CHN,TOR,TOR02,2022/08/31,0,7:07PM,night,9,2,true,mahrn901,gibsh902,onorb901,fairc901,(none),(none),2022/09/26 06:26:50,unknown,pitches,starh701,76,fromlf,20,unknown,none,cloudy,187,28572,rodrm001,whitm004,wickr001,
TOR202209120,TBA,TOR,TOR02,2022/09/12,0,7:07PM,night,9,2,true,millb903,dejer901,merzd901,marqa901,(none),(none),2022/09/26 06:27:05,unknown,pitches,lajor701,73,ltor,10,unknown,none,sunny,159,23002,mayzt001,adamj002,romaj004,
TOR202209131,TBA,TOR,TOR02,2022/09/13,1,1:07PM,day,9,2,true,dejer901,millb903,barrl901,marqa901,(none),(none),2022/09/26 06:27:06,unknown,pitches,lajor701,68,unknown,0,unknown,none,dome,179,23497,sprij001,merrj001,fairp001,
TOR202209132,TBA,TOR,TOR02,2022/09/13,2,7:07PM,night,9,2,true,merzd901,barrl901,marqa901,millb903,(none),(none),2022/09/26 06:27:06,unknown,pitches,lajor701,67,ltor,9,unknown,none,cloudy,183,25103,bassa001,pochc001,,
TOR202209140,TBA,TOR,TOR02,2022/09/14,0,7:07PM,night,9,2,true,barrl901,marqa901,dejer901,merzd901,(none),(none),2022/09/27 09:03:20,unknown,pitches,lajor701,66,fromcf,15,unknown,none,sunny,155,24282,strir001,rasmd002,,
TOR202209150,TBA,TOR,TOR02,2022/09/15,0,3:07PM,day,9,2,true,marqa901,dejer901,merzd901,barrl901,(none),(none),2022/10/09 09:01:56,unknown,pitches,lajor701,63,tocf,9,unknown,none,sunny,186,23820,mccls003,gausk001,,
