game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,howscored,pitches,oscorer,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,htbf
CIN201006250,CLE,CIN,CIN09,2010/06/25,0,7:11PM,night,false,gormb901,nauep901,barrt901,randt901,park,pitches,rothr701,86,rtol,6,unknown,unknown,cloudy,166,32844,haraa001,laffa001,,
CIN201006260,CLE,CIN,CIN09,2010/06/26,0,7:11PM,night,false,nauep901,barrt901,randt901,gormb901,park,pitches,rothr701,88,tolf,7,unknown,unknown,cloudy,189,37757,herrd001,mastj001,cordf002,
CIN201006270,CLE,CIN,CIN09,2010/06/27,0,2:31PM,day,false,barrt901,randt901,gormb901,nauep901,park,pitches,jonem701,76,unknown,10,unknown,unknown,overcast,162,25877,talbm001,arrob001,woodk002,
CIN201006280,PHI,CIN,CIN09,2010/06/28,0,7:10PM,night,false,danlk901,buckc901,eddid901,demud901,park,pitches,camem701,84,unknown,8,unknown,unknown,cloudy,154,22090,cuetj001,kendk001,,
CIN201006290,PHI,CIN,CIN09,2010/06/29,0,7:10PM,night,false,buckc901,eddid901,demud901,danlk901,park,pitches,rothr701,76,torf,10,unknown,unknown,cloudy,181,26679,lidgb001,rhoda001,romej001,
CIN201006300,PHI,CIN,CIN09,2010/06/30,0,12:35PM,day,false,eddid901,demud901,danlk901,buckc901,park,pitches,camem701,73,ltor,8,unknown,unknown,sunny,143,27245,rhoda001,hallr001,cordf002,
CIN201007160,COL,CIN,CIN09,2010/07/16,0,7:12PM,night,false,hallt901,holbs901,barkl901,rapue901,park,pitches,rothr701,88,ltor,8,unknown,unknown,cloudy,159,37188,arrob001,hammj002,cordf002,
CIN201007170,COL,CIN,CIN09,2010/07/17,0,7:31PM,night,false,holbs901,barkl901,rapue901,hallt901,park,pitches,rothr701,76,unknown,7,unknown,unknown,unknown,167,41300,volqe001,delaj001,,
CIN201007180,COL,CIN,CIN09,2010/07/18,0,1:10PM,day,false,barkl901,rapue901,hallt901,holbs901,park,pitches,camem701,85,rtol,9,unknown,unknown,cloudy,183,25159,cooka002,woodt004,streh001,
CIN201007190,WAS,CIN,CIN09,2010/07/19,0,7:10PM,night,false,culbf901,fostm901,cedeg901,hicke901,park,pitches,rothr701,88,tolf,8,unknown,unknown,unknown,167,21243,cuetj001,martj005,,
CIN201007200,WAS,CIN,CIN09,2010/07/20,0,7:10PM,night,false,fostm901,cedeg901,hicke901,culbf901,park,pitches,rothr701,75,rtol,9,wet,rain,unknown,168,22876,leakm001,atill001,cordf002,
CIN201007210,WAS,CIN,CIN09,2010/07/21,0,7:10PM,night,false,cedeg901,hicke901,culbf901,fostm901,park,pitches,jonem701,77,tolf,5,unknown,unknown,unknown,216,37868,stras001,arrob001,cappm001,
CIN201007220,WAS,CIN,CIN09,2010/07/22,0,12:36PM,day,false,hicke901,culbf901,fostm901,cedeg901,park,pitches,rothr701,83,rtol,6,unknown,unknown,cloudy,170,23115,hernl003,volqe001,,
CIN201007300,ATL,CIN,CIN09,2010/07/30,0,7:10PM,night,false,davib902,campa902,marqa901,timmt901,park,pitches,camem701,78,fromlf,7,unknown,unknown,cloudy,226,40373,chavj001,cordf002,wagnb001,
CIN201007310,ATL,CIN,CIN09,2010/07/31,0,4:10PM,day,false,campa902,marqa901,timmt901,davib902,park,pitches,jonem701,78,fromcf,5,unknown,unknown,unknown,173,41611,arrob001,jurrj001,cordf002,
CIN201008010,ATL,CIN,CIN09,2010/08/01,0,1:10PM,day,false,marqa901,timmt901,davib902,campa902,park,pitches,rothr701,84,fromcf,5,unknown,unknown,cloudy,168,40871,volqe001,hanst001,cordf002,
CIN201008090,SLN,CIN,CIN09,2010/08/09,0,7:10PM,night,false,vanol901,wegnm901,carlm901,kellj901,park,pitches,rothr701,90,tocf,7,unknown,unknown,cloudy,158,36353,carpc002,leakm001,,
CIN201008100,SLN,CIN,CIN09,2010/08/10,0,7:10PM,night,false,wegnm901,carlm901,kellj901,vanol901,park,pitches,rothr701,94,ltor,7,unknown,unknown,cloudy,197,36964,garcj004,cuetj001,franr001,
CIN201008110,SLN,CIN,CIN09,2010/08/11,0,12:35PM,day,false,carlm901,kellj901,vanol901,wegnm901,park,pitches,camem701,93,torf,5,unknown,unknown,cloudy,169,33364,waina001,arrob001,,
CIN201008130,FLO,CIN,CIN09,2010/08/13,0,7:10PM,night,false,guccc901,cuzzp901,reybd901,wintm901,park,pitches,jonem701,89,unknown,3,unknown,unknown,cloudy,176,29571,volqe001,johnj009,,
CIN201008140,FLO,CIN,CIN09,2010/08/14,0,7:25PM,night,false,cuzzp901,reybd901,wintm901,guccc901,park,pitches,camem701,75,unknown,6,unknown,unknown,unknown,166,37445,leakm001,wests001,cordf002,
CIN201008150,FLO,CIN,CIN09,2010/08/15,0,1:10PM,day,false,reybd901,wintm901,guccc901,cuzzp901,park,pitches,rothr701,86,unknown,6,unknown,unknown,cloudy,174,29849,bailh001,sanca004,cordf002,
CIN201008270,CHN,CIN,CIN09,2010/08/27,0,7:10PM,night,false,barrs901,gibsg901,knigb901,holbs901,park,pitches,rothr701,82,unknown,6,unknown,unknown,sunny,134,36219,cuetj001,gorzt001,,
CIN201008280,CHN,CIN,CIN09,2010/08/28,0,7:10PM,night,false,gibsg901,knigb901,holbs901,barrs901,park,pitches,camem701,85,unknown,4,unknown,unknown,sunny,150,41292,wellr001,arrob001,marmc001,
CIN201008290,CHN,CIN,CIN09,2010/08/29,0,1:10PM,day,false,knigb901,holbs901,barrs901,gibsg901,park,pitches,rothr701,89,unknown,1,unknown,unknown,sunny,170,30809,ondrl001,marss002,cordf002,
CIN201008300,MIL,CIN,CIN09,2010/08/30,0,7:11PM,night,false,hicke901,culbf901,ticht901,cedeg901,park,pitches,jonem701,88,unknown,5,unknown,unknown,cloudy,217,14589,cordf002,hofft001,,
CIN201008310,MIL,CIN,CIN09,2010/08/31,0,7:10PM,night,false,culbf901,ticht901,cedeg901,hicke901,park,pitches,rothr701,88,fromrf,3,unknown,unknown,cloudy,198,19218,lecus001,gally001,,
CIN201009010,MIL,CIN,CIN09,2010/09/01,0,7:10PM,night,false,ticht901,cedeg901,hicke901,culbf901,park,pitches,rothr701,90,tolf,10,unknown,unknown,sunny,176,16412,chapa001,cofft001,,
CIN201009100,PIT,CIN,CIN09,2010/09/10,0,7:11PM,night,false,timmt901,tscht901,davib902,barrs901,park,pitches,rothr701,75,unknown,9,unknown,unknown,unknown,238,24908,smitj003,ledew001,,
CIN201009110,PIT,CIN,CIN09,2010/09/11,0,7:10PM,night,false,tscht901,davib902,barrs901,timmt901,park,pitches,rothr701,74,unknown,4,unknown,unknown,unknown,181,36101,cordf002,thomj006,,
CIN201009120,PIT,CIN,CIN09,2010/09/12,0,1:11PM,day,false,davib902,barrs901,timmt901,tscht901,park,pitches,rothr701,75,ltor,13,unknown,unknown,sunny,180,26617,parkc002,cordf002,hanrj001,
CIN201009130,ARI,CIN,CIN09,2010/09/13,0,7:10PM,night,false,hirsj901,hoyej901,diazl901,bellw901,park,pitches,camem701,86,unknown,18,unknown,unknown,cloudy,185,12060,arrob001,enrib001,,
CIN201009140,ARI,CIN,CIN09,2010/09/14,0,7:09PM,night,false,hoyej901,diazl901,bellw901,hirsj901,park,pitches,rothr701,81,unknown,5,unknown,unknown,unknown,158,16973,hudsd001,woodt004,gutij002,
CIN201009150,ARI,CIN,CIN09,2010/09/15,0,7:11PM,night,false,diazl901,bellw901,hirsj901,hoyej901,park,pitches,jonem701,86,unknown,6,unknown,unknown,cloudy,182,19923,malom001,saunj001,cordf002,
CIN201009160,ARI,CIN,CIN09,2010/09/16,0,12:35PM,day,false,bellw901,hirsj901,hoyej901,diazl901,park,pitches,rothr701,74,tolf,15,unknown,unknown,overcast,158,22090,loper001,volqe001,gutij002,
CIN201009280,HOU,CIN,CIN09,2010/09/28,0,7:10PM,night,false,iassd901,barrs901,mealj901,mcclt901,park,pitches,rothr701,64,unknown,3,unknown,unknown,sunny,171,30151,chapa001,byrdt001,,
CIN201009290,HOU,CIN,CIN09,2010/09/29,0,7:10PM,night,false,barrs901,mealj901,mcclt901,iassd901,park,pitches,camem701,73,ltor,3,unknown,unknown,sunny,152,14760,figun001,cuetj001,lyonb003,
CIN201009300,HOU,CIN,CIN09,2010/09/30,0,7:09PM,night,false,mealj901,mcclt901,iassd901,barrs901,park,pitches,rothr701,74,unknown,13,unknown,unknown,unknown,152,17558,arrob001,myerb001,,
