game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,translator
BOS198708100,TOR,BOS,BOS07,1987/08/10,0,0:00PM,night,true,garcr901,reedr901,hirsj901,fordd901,"""F. Markotich""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,196,30606,clemr001,clanj001,,evand002,,
BOS198708110,TOR,BOS,BOS07,1987/08/11,0,0:00PM,night,true,reedr901,hirsj901,fordd901,garcr901,"""Broughton""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,187,32555,key-j001,stanb001,,barfj001,,
BOS198708120,TOR,BOS,BOS07,1987/08/12,0,0:00PM,night,true,hirsj901,fordd901,garcr901,reedr901,"""Broughton""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,176,33403,stied001,sellj001,,bellg001,,
BOS198708141,TEX,BOS,BOS07,1987/08/14,1,0:00PM,night,true,pales901,morrd901,tscht901,phild901,"""B. Wolven""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,190,0,hursb001,howes001,,greem001,,
BOS198708142,TEX,BOS,BOS07,1987/08/14,2,0:00PM,night,true,morrd901,tscht901,phild901,pales901,"""B. Wolven""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,165,33840,hougc001,nippa001,,petrg001,,
BOS198708150,TEX,BOS,BOS07,1987/08/15,0,0:00PM,day,true,tscht901,phild901,pales901,morrd901,"""Dic Humphrey""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,210,31189,gardw001,howes001,,boggw001,,
BOS198708160,TEX,BOS,BOS07,1987/08/16,0,0:00PM,day,true,phild901,pales901,morrd901,tscht901,"""Mike Webb""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,166,31438,stanb001,harrg001,,horns001,,
BOS198708210,MIN,BOS,BOS07,1987/08/21,0,0:00PM,night,true,brinj901,reilm901,joycj901,welkt901,"""David H. Robinson""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,192,33490,clemr001,violf001,gardw001,evand002,,
BOS198708220,MIN,BOS,BOS07,1987/08/22,0,0:00PM,day,true,reilm901,joycj901,welkt901,brinj901,"""Steve Kolk""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,160,29794,schic001,stral001,,boggw001,,
BOS198708230,MIN,BOS,BOS07,1987/08/23,0,0:00PM,day,true,joycj901,welkt901,brinj901,reilm901,"""David H. Robinson""","""Bill Disney""",unknown,none,0,unknown,-1,unknown,unknown,unknown,163,32956,sellj001,carls001,gardw001,bayld001,,
