game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,htbf,gametype
NY1191306262,"""version 7RS(19) of 07/07/92""",BSN,NY1,NYC14,1913/06/26,2,0:00PM,day,false,klemb901,ortha101,(none),(none),"""71,163,574,96,606,99""","""David W. Smith""","""David W. Smith""",2025/02/26 5:28PM,park,none,0,unknown,-1,unknown,unknown,unknown,110,10000,mathc102,hesso101,crand101,,,
NY1191306270,"""version 7RS(19) of 07/07/92""",BSN,NY1,NYC14,1913/06/27,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/11/05 3:50PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,98,6000,tesrj101,jameb102,,,,
NY1191306280,"""version 7RS(19) of 07/07/92""",BSN,NY1,NYC14,1913/06/28,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/11/07 8:00PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,138,18000,marqr102,dickw101,crand101,,,
NY1191307080,"""version 7RS(19) of 07/07/92""",CHN,NY1,NYC14,1913/07/08,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/11/27 7:47PM,unknown,none,0,unknown,-1,unknown,unknown,overcast,144,15000,tesrj101,lavej101,marqr102,,,
NY1191307090,"""version 7RS(19) of 07/07/92""",CHN,NY1,NYC14,1913/07/09,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/11/28 7:45PM,unknown,none,0,unknown,-1,unknown,unknown,cloudy,95,8000,marqr102,chenl101,,,,
NY1191307100,"""version 7RS(19) of 07/07/92""",CHN,NY1,NYC14,1913/07/10,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""277""","""Cliff Blau""","""Cliff Blau""",2013/11/29 7:45PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,12000,smitc107,mathc102,,,,
NY1191307110,"""version 7RS(19) of 07/07/92""",CHN,NY1,NYC14,1913/07/11,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""109,65,111""","""Wayne Townsend""","""Wayne Townsend""",2023/07/07 7:53AM,park,none,0,unknown,-1,unknown,unknown,unknown,170,12000,froma101,lavej101,,,,
NY1191307120,"""version 7RS(19) of 07/07/92""",CIN,NY1,NYC14,1913/07/12,0,0:00PM,day,false,riglc901,byrol901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/12/02 3:41PM,unknown,none,0,unknown,-1,unknown,unknown,overcast,100,22000,demaa101,amesr101,,,,
NY1191307140,"""version 7RS(19) of 07/07/92""",CIN,NY1,NYC14,1913/07/14,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/12/03 7:41PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,102,6000,marqr102,bentr102,,,,
NY1191307150,"""version 7RS(19) of 07/07/92""",CIN,NY1,NYC14,1913/07/15,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""96,99,240,572,65""","""Rob Wood""","""Rob Wood""",2025/02/24 3:53PM,park,none,0,unknown,-1,unknown,unknown,unknown,88,7000,mathc102,browm102,,,,
NY1191307160,"""version 7RS(19) of 07/07/92""",CIN,NY1,NYC14,1913/07/16,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""73""","""Cliff Blau/RWood""","""Cliff Blau/RWood""",2013/12/05 1:24PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,8000,tesrj101,packg101,,,,
NY1191307171,"""version 7RS(19) of 07/07/92""",SLN,NY1,NYC14,1913/07/17,1,0:00PM,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/12/08 1:20PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,115,0,harmb101,froma101,,,,
NY1191307172,"""version 7RS(19) of 07/07/92""",SLN,NY1,NYC14,1913/07/17,2,0:00PM,day,false,easom101,brenb901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/12/08 3:44PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,110,18000,marqr102,salls101,,,,
NY1191307181,"""version 7RS(19) of 07/07/92""",SLN,NY1,NYC14,1913/07/18,1,0:00,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/12/09 4:38PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,107,0,geyer101,tesrj101,salls101,,,
NY1191307182,"""version 7RS(19) of 07/07/92""",SLN,NY1,NYC14,1913/07/18,2,0:00PM,day,false,easom101,brenb901,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/12/20 7:53PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,95,12000,mathc102,perrp101,,,,
NY1191307190,"""version 7RS(19) of 07/07/92""",SLN,NY1,NYC14,1913/07/19,0,0:00PM,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2013/12/11 1:28PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,130,18000,marqr102,grind101,,,,
NY1191307210,"""version 7RS(19) of 07/07/92""",SLN,NY1,NYC14,1913/07/21,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""73""","""Cliff Blau/RWood""","""Cliff Blau/RWood""",2013/12/13 4:05PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,5000,crand101,burks101,,,,
NY1191307221,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/07/22,1,2:00PM,day,false,odayh101,emslb101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2005/02/01 6:45PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,100,0,demaa101,camnh101,,,,
NY1191307222,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/07/22,2,0:00PM,day,false,odayh101,emslb101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2005/02/01 7:50PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,125,35000,froma101,adamb104,,,,
NY1191307230,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/07/23,0,0:00PM,day,false,odayh101,emslb101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2005/02/03 5:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,95,10000,marqr102,mcqug103,,,,
NY1191308141,"""version 7RS(19) of 07/07/92""",SLN,NY1,NYC14,1913/08/14,1,0:00,day,false,quige901,easom101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/01/16 1:19PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,142,0,marqr102,grind101,,,,
NY1191308142,"""version 7RS(19) of 07/07/92""",SLN,NY1,NYC14,1913/08/14,2,0:00PM,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/01/16 4:03PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,127,18000,tesrj101,harmb101,,,,
NY1191308150,"""version 7RS(19) of 07/07/92""",SLN,NY1,NYC14,1913/08/15,0,0:00PM,day,false,brenb901,easom101,(none),(none),"""73""","""Cliff Blau""","""Cliff Blau""",2014/01/17 4:01PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,85,10000,froma101,perrp101,,,,
NY1191308160,"""version 7RS(19) of 07/07/92""",PIT,NY1,NYC14,1913/08/16,0,0:00PM,day,false,klemb901,ortha101,(none),(none),"""137""","""Greg Beston""","""Greg Beston""",2005/02/20 11:08PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,120,28000,adamb104,mathc102,mcqug103,,,
