game_id,hometeam,home_recent_form
CLE191105030,CLE,
CLE191105040,CLE,
CLE191105050,CLE,
CLE191105060,CLE,
CLE191105090,CLE,
CLE191105100,CLE,
CLE191105110,CLE,
CLE191105120,CLE,
CLE191105130,CLE,
CLE191105140,CLE,
CLE191105150,CLE,
CLE191105160,CLE,
CLE191105180,CLE,
CLE191105190,CLE,
CLE191105200,CLE,
CLE191105210,CLE,
CLE191105220,CLE,
CLE191105230,CLE,
CLE191105240,CLE,
CLE191105250,CLE,
CLE191105290,CLE,
CLE191105301,CLE,
CLE191105302,CLE,
CLE191106180,CLE,
CLE191106281,CLE,
CLE191106282,CLE,
CLE191106290,CLE,
CLE191106300,CLE,
CLE191107010,CLE,
CLE191107041,CLE,
CLE191107042,CLE,
CLE191107050,CLE,
CLE191107060,CLE,
CLE191107070,CLE,
CLE191107090,CLE,
CLE191107110,CLE,
CLE191107120,CLE,
CLE191107130,CLE,
CLE191107140,CLE,
CLE191107150,CLE,
CLE191107160,CLE,
CLE191107170,CLE,
CLE191107180,CLE,
CLE191107190,CLE,
CLE191107200,CLE,
CLE191107210,CLE,
CLE191107220,CLE,
CLE191107230,CLE,
CLE191108120,CLE,
CLE191108170,CLE,
CLE191108180,CLE,
CLE191108190,CLE,
CLE191108200,CLE,
CLE191108220,CLE,
CLE191108261,CLE,
CLE191108262,CLE,
CLE191108270,CLE,
CLE191108290,CLE,
CLE191108300,CLE,
CLE191109041,CLE,
CLE191109042,CLE,
CLE191109070,CLE,
CLE191109080,CLE,
CLE191109090,CLE,
CLE191109120,CLE,
CLE191109130,CLE,
CLE191109240,CLE,
CLE191110020,CLE,
CLE191110041,CLE,
CLE191110042,CLE,
DET191104130,DET,
DET191104140,DET,
DET191104150,DET,
DET191104160,DET,
DET191104180,DET,
DET191104230,DET,
DET191104240,DET,
DET191104250,DET,
DET191104260,DET,
DET191104300,DET,
DET191105010,DET,
DET191105090,DET,
DET191105100,DET,
DET191105110,DET,
DET191105120,DET,
DET191105130,DET,
DET191105140,DET,
DET191105150,DET,
DET191105160,DET,
DET191105180,DET,
DET191105190,DET,
DET191105200,DET,
DET191105210,DET,
DET191105220,DET,
DET191105230,DET,
DET191105240,DET,
DET191105250,DET,
DET191105270,DET,
DET191105280,DET,
DET191106180,DET,
DET191106190,DET,
DET191106200,DET,
DET191106210,DET,
DET191106220,DET,
DET191106230,DET,
DET191106280,DET,
DET191106290,DET,
DET191107010,DET,
DET191107020,DET,
DET191107041,DET,
DET191107050,DET,
DET191107070,DET,
DET191107080,DET,
DET191107090,DET,
DET191107100,DET,
DET191107110,DET,
DET191107120,DET,
DET191107130,DET,
DET191107140,DET,
DET191107150,DET,
DET191107160,DET,
DET191107170,DET,
DET191107180,DET,
DET191107200,DET,
DET191107210,DET,
DET191107220,DET,
DET191107230,DET,
DET191108120,DET,
DET191108170,DET,
DET191108180,DET,
DET191108190,DET,
DET191108200,DET,
DET191108210,DET,
DET191108220,DET,
DET191108251,DET,
DET191108252,DET,
DET191108260,DET,
DET191108270,DET,
DET191108280,DET,
DET191108290,DET,
DET191109061,DET,
DET191109062,DET,
DET191109080,DET,
DET191109090,DET,
DET191109100,DET,
NY1191104120,NY1,
NY1191104130,NY1,
NY1191104150,NY1,
NY1191104170,NY1,
NY1191104180,NY1,
NY1191104190,NY1,
NY1191104250,NY1,
NY1191104260,NY1,
NY1191104270,NY1,
NY1191104280,NY1,
NY1191105090,NY1,
NY1191105100,NY1,
NY1191105110,NY1,
NY1191105120,NY1,
NY1191105130,NY1,
NY1191105150,NY1,
NY1191105160,NY1,
NY1191105170,NY1,
