game_id,home_r1
ATL201404230,0
ATL201404250,3
ATL201404260,2
ATL201404270,0
ATL201405020,0
ATL201405030,0
ATL201405040,0
ATL201405050,0
ATL201405060,0
ATL201405070,0
ATL201405090,0
ATL201405100,0
ATL201405110,0
ATL201405190,1
ATL201405200,0
ATL201405210,1
ATL201405220,0
ATL201405230,0
ATL201405240,0
ATL201405250,0
ATL201405260,0
ATL201405270,1
ATL201406030,4
ATL201406040,0
ATL201406130,4
ATL201406140,0
ATL201406150,0
ATL201406160,0
ATL201406170,0
ATL201406180,4
ATL201406300,0
ATL201407010,0
ATL201407020,3
ATL201407040,2
ATL201407050,1
ATL201407060,0
ATL201407180,0
ATL201407190,0
ATL201407200,0
ATL201407210,0
ATL201407220,1
ATL201407230,1
ATL201407240,0
ATL201407250,0
ATL201407260,0
ATL201407270,0
ATL201407280,0
ATL201408080,2
ATL201408090,0
ATL201408100,0
ATL201408110,0
ATL201408120,0
ATL201408130,0
ATL201408140,0
ATL201408150,0
ATL201408160,2
ATL201408170,0
ATL201408290,0
ATL201408300,0
ATL201408310,0
ATL201409010,0
ATL201409020,0
ATL201409030,0
ATL201409150,0
ATL201409160,0
ATL201409170,0
ATL201409190,0
ATL201409200,0
ATL201409210,0
ATL201409220,0
ATL201409230,1
ATL201409240,0
ATL201409250,0
BAL201403310,0
BAL201404020,0
BAL201404030,0
BAL201404110,0
BAL201404120,0
BAL201404130,1
BAL201404140,1
BAL201404160,0
BAL201404250,0
BAL201404260,2
BAL201404270,0
BAL201405011,0
BAL201405012,0
BAL201405090,0
BAL201405100,0
BAL201405110,0
BAL201405120,0
BAL201405130,1
BAL201405140,0
BAL201405220,0
BAL201405230,0
BAL201405240,0
BAL201405250,0
BAL201406060,0
BAL201406070,1
BAL201406080,0
BAL201406090,1
BAL201406100,0
BAL201406110,3
BAL201406120,2
BAL201406130,0
BAL201406140,0
BAL201406150,0
BAL201406230,2
BAL201406240,0
BAL201406250,0
BAL201406271,1
BAL201406272,0
BAL201406280,0
BAL201406290,0
BAL201406300,3
BAL201407010,2
BAL201407020,0
BAL201407030,0
BAL201407090,1
BAL201407100,1
BAL201407110,0
BAL201407120,0
BAL201407130,0
BAL201407290,2
BAL201407300,2
BAL201407310,0
BAL201408010,0
BAL201408020,1
BAL201408030,1
BAL201408080,0
BAL201408090,0
BAL201408100,1
BAL201408110,1
BAL201408130,0
BAL201408250,0
BAL201408260,0
BAL201408270,0
BAL201408280,1
BAL201408290,0
BAL201408300,0
BAL201408310,0
BAL201409010,0
BAL201409020,4
BAL201409030,0
BAL201409040,6
BAL201409121,0
BAL201409122,0
BAL201409130,0
BAL201409140,0
BAL201409150,2
BAL201409160,3
BAL201409170,0
BAL201409190,0
BAL201409200,0
BAL201409210,0
BOS201404040,0
BOS201404050,0
BOS201404060,0
BOS201404070,0
BOS201404080,0
BOS201404090,0
BOS201404180,0
BOS201404190,1
BOS201404200,0
BOS201404210,0
BOS201404220,0
BOS201404230,2
BOS201404240,0
BOS201404290,0
BOS201405011,1
BOS201405012,0
BOS201405020,0
BOS201405030,4
BOS201405040,0
BOS201405060,1
BOS201405070,0
BOS201405160,0
BOS201405170,0
BOS201405180,0
BOS201405200,0
BOS201405210,0
BOS201405220,1
BOS201405280,0
BOS201405290,0
BOS201405300,0
BOS201405310,0
BOS201406010,0
BOS201406120,0
BOS201406130,0
BOS201406140,1
BOS201406150,1
BOS201406160,0
BOS201406170,1
BOS201406180,0
BOS201406300,0
BOS201407010,0
BOS201407020,0
BOS201407051,0
BOS201407052,0
BOS201407060,0
BOS201407070,0
BOS201407080,0
BOS201407090,0
BOS201407100,0
BOS201407180,0
BOS201407190,0
BOS201407200,1
BOS201407280,0
BOS201407290,0
BOS201407300,0
BOS201408010,0
BOS201408020,0
BOS201408030,3
BOS201408140,0
BOS201408150,0
BOS201408160,0
BOS201408170,0
BOS201408180,0
BOS201408190,1
BOS201408200,1
BOS201408210,0
BOS201408220,0
BOS201408230,1
BOS201408240,3
BOS201409050,1
BOS201409060,1
BOS201409070,0
BOS201409080,0
BOS201409090,0
BOS201409100,0
BOS201409230,0
BOS201409240,0
BOS201409250,1
BOS201409260,0
BOS201409270,1
BOS201409280,0
CHA201403310,0
CHA201404020,0
CHA201404030,0
CHA201404100,0
CHA201404110,0
CHA201404120,4
CHA201404130,0
CHA201404150,0
CHA201404160,1
CHA201404170,0
CHA201404250,1
CHA201404260,0
CHA201404270,0
CHA201404280,0
CHA201404290,0
CHA201404300,0
CHA201405070,1
CHA201405080,0
CHA201405090,0
CHA201405100,0
CHA201405110,0
CHA201405220,0
CHA201405230,1
CHA201405240,3
CHA201405250,0
CHA201405260,0
CHA201405270,0
CHA201405280,0
CHA201405300,0
CHA201405310,0
CHA201406010,0
CHA201406090,1
CHA201406110,0
CHA201406120,0
CHA201406130,1
CHA201406140,0
CHA201406150,1
CHA201406170,0
CHA201406180,2
CHA201407011,3
CHA201407012,0
CHA201407020,0
CHA201407040,0
CHA201407050,0
CHA201407060,1
CHA201407180,0
CHA201407190,0
CHA201407200,0
CHA201407210,2
CHA201407220,0
CHA201407230,1
CHA201408010,0
CHA201408020,0
CHA201408030,0
CHA201408040,0
CHA201408050,0
CHA201408060,0
CHA201408150,5
CHA201408160,0
CHA201408170,6
CHA201408180,0
CHA201408190,1
CHA201408200,2
CHA201408260,2
CHA201408270,0
CHA201408280,0
CHA201408290,1
CHA201408301,1
CHA201408302,0
CHA201408310,2
CHA201409080,2
CHA201409090,0
CHA201409100,0
CHA201409110,0
CHA201409131,0
CHA201409132,3
CHA201409140,0
CHA201409250,0
CHA201409260,0
CHA201409270,3
CHA201409280,0
CHN201404040,0
CHN201404050,0
CHN201404060,4
CHN201404080,0
CHN201404090,1
CHN201404100,0
CHN201404180,0
CHN201404190,1
CHN201404200,0
CHN201404210,0
CHN201404220,0
CHN201404230,0
CHN201404240,1
CHN201405020,2
CHN201405030,0
CHN201405040,0
CHN201405050,0
CHN201405060,0
CHN201405160,0
CHN201405170,3
CHN201405180,0
CHN201405200,0
CHN201405210,0
CHN201406030,0
CHN201406040,2
CHN201406050,0
CHN201406060,0
CHN201406070,0
CHN201406080,0
CHN201406200,0
CHN201406210,0
CHN201406220,0
CHN201406230,0
CHN201406240,0
CHN201406250,0
CHN201406260,0
CHN201406270,0
CHN201406281,0
CHN201406282,0
CHN201407110,0
CHN201407120,2
CHN201407130,0
CHN201407220,1
CHN201407230,0
CHN201407240,0
CHN201407250,0
CHN201407260,0
CHN201407270,0
CHN201407280,0
CHN201407290,1
CHN201407300,0
CHN201407310,0
CHN201408080,1
CHN201408090,0
CHN201408100,0
CHN201408110,0
CHN201408120,0
CHN201408130,2
CHN201408140,0
CHN201408190,2
CHN201408200,0
CHN201408210,3
CHN201408220,0
CHN201408230,0
CHN201408240,0
CHN201409010,0
CHN201409020,4
CHN201409030,0
CHN201409050,0
CHN201409060,0
CHN201409070,0
CHN201409150,0
CHN201409160,0
CHN201409170,0
CHN201409180,2
CHN201409190,3
CHN201409200,1
CHN201409210,0
CHN201409220,0
CHN201409230,0
CHN201409240,0
CIN201403310,0
CIN201404020,0
CIN201404030,3
CIN201404110,0
CIN201404120,0
CIN201404130,0
CIN201404140,2
CIN201404150,0
CIN201404160,1
CIN201404290,1
CIN201404300,2
CIN201405010,0
CIN201405020,0
CIN201405030,0
CIN201405040,0
CIN201405090,1
CIN201405100,0
CIN201405110,1
CIN201405130,1
CIN201405151,0
CIN201405152,1
CIN201405230,0
CIN201405240,0
CIN201405250,0
CIN201406030,4
CIN201406040,0
CIN201406050,1
CIN201406060,0
CIN201406070,1
CIN201406080,0
CIN201406090,0
CIN201406100,0
CIN201406110,0
CIN201406120,2
CIN201406200,0
CIN201406210,3
CIN201406220,1
CIN201407040,0
CIN201407050,0
CIN201407060,2
CIN201407070,1
CIN201407081,3
CIN201407082,0
CIN201407090,0
CIN201407100,3
CIN201407110,1
CIN201407120,0
CIN201407130,0
CIN201407250,0
CIN201407260,0
CIN201407270,0
CIN201407280,0
CIN201407290,1
CIN201407300,0
CIN201408060,0
CIN201408070,2
CIN201408080,0
CIN201408090,1
CIN201408100,2
CIN201408120,2
CIN201408130,0
CIN201408210,0
CIN201408220,0
CIN201408230,0
CIN201408240,0
CIN201408260,0
CIN201408270,0
CIN201408280,0
CIN201409050,1
CIN201409060,0
CIN201409070,0
CIN201409080,0
CIN201409090,2
CIN201409100,1
CIN201409110,0
CIN201409230,2
CIN201409240,0
CIN201409250,0
CIN201409260,0
CIN201409270,3
CIN201409280,1
CLE201404040,0
CLE201404050,0
CLE201404060,0
CLE201404080,0
CLE201404091,0
CLE201404092,0
CLE201404180,0
CLE201404190,0
CLE201404200,0
CLE201404210,0
CLE201404220,0
CLE201404230,0
CLE201404240,0
CLE201405020,5
CLE201405030,0
CLE201405040,0
CLE201405050,0
CLE201405060,2
CLE201405070,0
CLE201405080,1
CLE201405160,1
CLE201405170,0
CLE201405180,1
CLE201405190,1
CLE201405200,1
CLE201405210,1
CLE201405300,1
CLE201405310,0
CLE201406010,3
CLE201406020,2
CLE201406030,3
CLE201406040,1
CLE201406160,2
CLE201406170,0
CLE201406190,0
CLE201406200,0
CLE201406210,0
CLE201406220,0
CLE201407040,0
CLE201407050,0
CLE201407060,0
CLE201407070,0
CLE201407080,1
CLE201407090,3
CLE201407100,0
CLE201407110,0
CLE201407120,0
CLE201407130,0
CLE201407290,0
CLE201407300,0
CLE201407310,1
CLE201408010,1
CLE201408020,0
CLE201408030,0
CLE201408040,1
CLE201408050,1
CLE201408131,0
CLE201408132,0
CLE201408150,0
CLE201408160,3
CLE201408170,0
CLE201408220,0
CLE201408230,0
CLE201408240,0
CLE201409010,1
CLE201409020,2
CLE201409030,2
CLE201409040,0
CLE201409050,1
CLE201409060,0
CLE201409070,1
CLE201409080,0
CLE201409090,0
CLE201409111,2
CLE201409112,0
CLE201409220,0
CLE201409230,0
CLE201409240,3
CLE201409260,1
CLE201409270,0
CLE201409280,0
COL201404040,1
COL201404050,0
COL201404060,0
COL201404070,1
COL201404080,0
COL201404090,1
COL201404180,4
COL201404190,0
COL201404200,1
COL201404210,4
COL201404220,0
COL201404230,2
COL201405010,1
COL201405020,4
COL201405030,0
COL201405040,0
COL201405050,0
COL201405060,2
COL201405160,0
COL201405170,1
COL201405180,0
COL201405200,0
COL201405210,0
COL201405220,0
COL201406030,0
COL201406040,0
COL201406050,1
COL201406060,0
COL201406070,0
COL201406080,0
COL201406090,0
COL201406100,3
COL201406110,3
COL201406120,0
COL201406200,2
COL201406210,2
COL201406220,0
COL201406230,0
COL201406240,3
COL201406250,0
COL201407030,0
COL201407040,0
COL201407050,2
COL201407060,0
COL201407070,0
COL201407080,0
COL201407090,2
COL201407110,2
COL201407120,0
COL201407130,2
COL201407210,0
COL201407220,0
COL201407230,3
COL201407250,0
COL201407260,0
COL201407270,0
COL201408050,0
COL201408060,0
COL201408070,0
COL201408140,0
COL201408150,0
COL201408171,2
COL201408172,0
COL201408190,1
COL201408200,0
COL201408220,0
COL201408230,0
COL201408240,3
COL201409010,0
COL201409020,2
COL201409030,0
COL201409050,1
COL201409060,0
COL201409070,0
COL201409150,1
COL201409160,2
COL201409170,8
COL201409180,0
COL201409190,0
COL201409200,1
COL201409210,0
DET201403310,0
DET201404020,0
DET201404040,0
DET201404050,0
DET201404060,0
DET201404160,1
DET201404170,0
DET201404180,0
DET201404190,0
DET201404200,1
DET201404210,0
DET201404220,1
DET201404230,0
DET201404240,0
DET201405050,0
DET201405060,1
DET201405070,2
DET201405080,0
DET201405090,0
DET201405100,0
DET201405110,1
DET201405220,0
DET201405230,0
DET201405240,0
DET201405250,1
DET201406030,0
DET201406040,1
DET201406050,0
DET201406060,0
DET201406070,2
DET201406080,0
DET201406130,0
DET201406140,0
DET201406150,1
DET201406160,0
DET201406170,0
DET201406180,0
DET201406190,0
DET201406300,0
DET201407010,0
DET201407020,1
DET201407030,5
DET201407040,0
DET201407050,0
DET201407060,1
DET201407080,0
DET201407090,2
DET201407180,0
DET201407191,0
DET201407192,0
DET201407200,2
DET201407290,0
DET201407300,6
DET201407310,0
DET201408010,0
DET201408020,1
DET201408030,0
DET201408130,0
DET201408140,0
DET201408150,0
DET201408160,0
DET201408170,0
DET201408260,0
DET201408270,0
DET201408280,0
DET201409050,0
DET201409060,2
DET201409070,0
DET201409080,0
DET201409090,1
DET201409100,0
DET201409120,0
DET201409130,0
DET201409140,0
DET201409220,0
DET201409230,0
DET201409240,0
DET201409250,2
DET201409260,0
DET201409270,0
DET201409280,0
HOU201404010,4
HOU201404020,1
HOU201404030,1
HOU201404040,0
HOU201404050,1
HOU201404060,2
