game_id,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer
CHA199306270,SEA,CHA,CHI12,1993/06/27,0,1:37,day,true,hirsj901,welkt901,reedr901,merrd901,pitches,80,tolf,14,dry,none,cloudy,169,38245,ferna001,delur001,hernr001,,
CHA199307010,BAL,CHA,CHI12,1993/07/01,0,7:07,night,true,hirsj901,welkt901,reedr901,merrd901,pitches,67,ltor,10,dry,none,night,131,25691,moyej001,mcdoj001,olsog001,,
CHA199307020,BAL,CHA,CHI12,1993/07/02,0,7:06,night,true,welkt901,reedr901,merrd901,hirsj901,pitches,0,tolf,-1,wet,none,night,158,27997,ferna001,mussm001,,,
CHA199307030,BAL,CHA,CHI12,1993/07/03,0,6:07,night,true,reedr901,merrd901,hirsj901,welkt901,pitches,0,unknown,-1,dry,none,night,192,41972,willm004,berej002,olsog001,,
CHA199307040,BAL,CHA,CHI12,1993/07/04,0,1:37,day,true,merrd901,hirsj901,welkt901,reedr901,pitches,88,rtol,17,dry,none,sunny,131,31441,boltr001,mcdob001,hernr001,,
CHA199307190,TOR,CHA,CHI12,1993/07/19,0,7:06,night,true,denkd901,shulj901,tscht901,joycj901,pitches,85,tolf,13,dry,none,night,178,40127,stewd001,boltr001,,,
CHA199307200,TOR,CHA,CHI12,1993/07/20,0,7:07,night,true,shulj901,tscht901,joycj901,denkd901,pitches,72,fromcf,8,dry,none,night,131,30454,ferna001,guzmj003,,,
CHA199307210,TOR,CHA,CHI12,1993/07/21,0,7:37,night,true,tscht901,joycj901,denkd901,shulj901,pitches,71,ltor,15,dry,none,night,188,30900,leita001,alvaw001,wardd001,,
CHA199307220,MIL,CHA,CHI12,1993/07/22,0,7:06,night,true,hendt901,craft901,evanj901,mccol901,pitches,71,ltor,12,dry,none,night,172,29684,mcdoj001,navaj001,,,
CHA199307230,MIL,CHA,CHI12,1993/07/23,0,7:06,night,true,craft901,evanj901,mccol901,hendt901,pitches,76,fromrf,15,dry,none,night,168,33875,orosj001,hernr001,henrd002,,
CHA199307240,MIL,CHA,CHI12,1993/07/24,0,6:06,night,true,evanj901,mccol901,hendt901,craft901,pitches,0,unknown,-1,dry,none,night,185,42175,radis001,fettm001,,,
CHA199307250,MIL,CHA,CHI12,1993/07/25,0,1:37,day,true,mccol901,hendt901,craft901,evanj901,pitches,80,rtol,16,wet,none,sunny,163,38324,eldrc001,ferna001,,,
CHA199307260,CLE,CHA,CHI12,1993/07/26,0,7:08,night,true,voltv901,kaisk901,mckej901,johnm901,pitches,85,tolf,14,dry,none,night,189,32431,schwj001,dipoj001,hernr001,,
CHA199307270,CLE,CHA,CHI12,1993/07/27,0,7:06,night,true,kaisk901,mckej901,johnm901,voltv901,pitches,88,fromrf,12,dry,none,night,153,29358,mcdoj001,mutij001,hernr001,,
CHA199307280,CLE,CHA,CHI12,1993/07/28,0,12:37,day,true,mckej901,johnm901,voltv901,kaisk901,pitches,84,unknown,17,dry,none,sunny,162,30786,berej002,lopea002,,,
CHA199308060,CAL,CHA,CHI12,1993/08/06,0,7:07,night,true,tscht901,joycj901,denkd901,shulj901,pitches,0,unknown,-1,dry,none,night,184,32856,finlc001,alvaw001,nelsg001,,
CHA199308070,CAL,CHA,CHI12,1993/08/07,0,6:06,night,true,joycj901,denkd901,shulj901,tscht901,none,70,ltor,9,dry,none,night,158,42535,mcdoj001,farrj001,hernr001,,
CHA199308080,CAL,CHA,CHI12,1993/08/08,0,1:36,day,true,denkd901,shulj901,tscht901,joycj901,pitches,76,tolf,6,dry,none,sunny,165,38581,langm001,berej002,butcm001,,
CHA199308090,OAK,CHA,CHI12,1993/08/09,0,7:07,night,true,mcclt901,brinj901,cousd901,reedr901,pitches,73,rtol,15,wet,none,night,174,36643,ferna001,wittb001,hernr001,,
CHA199308100,OAK,CHA,CHI12,1993/08/10,0,7:06,night,true,brinj901,cousd901,reedr901,mcclt901,pitches,81,tolf,10,dry,none,night,141,29906,belct001,mohlm001,,,
CHA199308110,OAK,CHA,CHI12,1993/08/11,0,12:35,day,true,cousd901,reedr901,mcclt901,brinj901,pitches,82,fromlf,3,dry,none,sunny,199,33625,vanpt001,alvaw001,ecked001,,
CHA199308120,KCA,CHA,CHI12,1993/08/12,0,7:07,night,true,craft901,mccol901,hendt901,evanj901,pitches,74,tolf,12,dry,none,night,154,38954,appik001,mcdoj001,,,
CHA199308130,KCA,CHA,CHI12,1993/08/13,0,7:07,night,true,mccol901,hendt901,evanj901,craft901,pitches,83,ltor,10,dry,none,night,185,34272,caryc001,montj002,hernr001,,
CHA199308140,KCA,CHA,CHI12,1993/08/14,0,6:07,night,true,hendt901,evanj901,craft901,mccol901,pitches,83,ltor,12,dry,none,night,144,42417,ferna001,coned001,radis001,,
CHA199308150,KCA,CHA,CHI12,1993/08/15,0,2:19,day,true,evanj901,craft901,mccol901,hendt901,pitches,73,rtol,14,soaked,rain,overcast,175,38395,gordt001,belct001,montj002,,
CHA199308230,NYA,CHA,CHI12,1993/08/23,0,7:05,night,true,cobld901,merrd901,hirsj901,welkt901,pitches,88,tocf,17,soaked,rain,night,212,38828,assep001,radis001,farrs001,,
CHA199308240,NYA,CHA,CHI12,1993/08/24,0,7:08,night,true,merrd901,hirsj901,welkt901,cobld901,pitches,84,tocf,9,dry,none,night,190,38404,alvaw001,abboj001,hernr001,,
CHA199308250,NYA,CHA,CHI12,1993/08/25,0,7:38,night,true,hirsj901,welkt901,cobld901,merrd901,pitches,77,rtol,16,damp,rain,night,183,31521,montr002,radis001,wickb001,,
CHA199308271,MIN,CHA,CHI12,1993/08/27,1,4:06,day,true,shulj901,tscht901,cedeg901,denkd901,pitches,92,rtol,18,dry,none,cloudy,164,0,belct001,deshj001,,,
CHA199308272,MIN,CHA,CHI12,1993/08/27,2,7:28,night,true,tscht901,cedeg901,denkd901,shulj901,pitches,89,unknown,-1,dry,none,night,199,32481,casil001,palld001,,,
CHA199308280,MIN,CHA,CHI12,1993/08/28,0,6:06,night,true,cedeg901,denkd901,shulj901,tscht901,pitches,72,tocf,12,dry,none,night,150,42587,berej002,tapak001,,,
CHA199308290,MIN,CHA,CHI12,1993/08/29,0,7:05,night,true,denkd901,shulj901,tscht901,cedeg901,pitches,0,unknown,-1,dry,none,night,175,29351,mccak001,guare001,,,
CHA199308300,MIN,CHA,CHI12,1993/08/30,0,7:05,night,true,shulj901,tscht901,cedeg901,denkd901,pitches,87,ltor,18,dry,none,night,123,38367,ferna001,erics001,hernr001,,
CHA199309060,BOS,CHA,CHI12,1993/09/06,0,7:06,night,true,merrd901,hirsj901,welkt901,cobld901,pitches,66,ltor,9,dry,none,night,183,40475,banks001,mcdoj001,harrg001,,
CHA199309070,BOS,CHA,CHI12,1993/09/07,0,7:05,night,true,hirsj901,welkt901,cobld901,merrd901,pitches,72,ltor,5,dry,none,night,146,27966,darwd001,belct001,ryank001,,
