game_id,inputprogvers,visteam,hometeam,site,date,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,translator,oscorer,gametype
KC1195805180,"""version 7RS(19) of 07/07/92""",DET,KC1,KAN05,1958/05/18,0,0:00PM,day,false,umonf901,summb901,honoj901,soarh901,"""Middlesworth""","""Elliott""",1998/01/24 10:41AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,105,12475,maasd101,foytp101,,,,,
KC1195805200,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1958/05/20,0,0:00PM,night,false,nappl901,ricej901,romme101,stevj901,"""Senators""","""CharlesVoas""",1994/09/11 9:49PM,park,none,0,unknown,-1,unknown,unknown,unknown,140,9058,garvn102,hyded101,,,"""CharlesVoas""",,
KC1195805210,"""version 7RS(19) of 07/07/92""",WS1,KC1,KAN05,1958/05/21,0,0:00PM,day,false,ricej901,romme101,stevj901,nappl901,"""Senators""","""Charles Voas""",1994/09/11 10:34PM,park,none,0,unknown,-1,unknown,unknown,unknown,122,5561,kemmr101,terrr101,,,"""Charles Voas""",,
KC1195805220,,BOS,KC1,KAN05,1958/05/22,0,0:00PM,night,false,flahr901,chyln901,berrc103,mckib901,"""215,71,611""","""Dick Cramer/RWood""",2010/12/16 8:35 PM,park,none,0,unknown,-1,unknown,unknown,unknown,181,9759,fornm101,urbaj101,,,"""Dick Cramer/RWood""",,
KC1195805240,"""version 7RS(19) of 07/07/92""",BOS,KC1,KAN05,1958/05/24,0,0:00PM,day,false,berrc103,mckib901,flahr901,chyln901,"""71""","""Greg Beston""",1998/09/18 12:11PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,148,6958,wallm101,gormt102,kiell101,,"""Greg Beston""",,
KC1195805250,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1958/05/25,0,0:00PM,day,false,mckib901,flahr901,chyln901,berrc103,"""BAL""","""Tim Cashion""",1997/04/27 11:59PM,park,none,0,unknown,-1,unknown,unknown,unknown,123,9752,garvn102,pappm101,,,"""Tim Cashion""",,
KC1195805260,"""version 7RS(19) of 07/07/92""",BAL,KC1,KAN05,1958/05/26,0,0:00PM,day,false,flahr901,chyln901,berrc103,mckib901,"""BAL""","""Tim Cashion""",1997/05/01 10:29AM,park,none,0,unknown,-1,unknown,unknown,unknown,155,3833,dickm101,porta101,,,"""Tim Cashion""",,
KC1195805270,"""version 7RS(19) of 07/07/92""",NYA,KC1,KAN05,1958/05/27,0,0:00PM,night,false,stevj901,nappl901,ricej901,romme101,"""NYA""","""Marc Stephenson""",1999/06/07 10:03PM,park,none,0,unknown,-1,unknown,unknown,night,140,29708,urbaj101,turlb101,,,"""Marc Stephenson""",,
KC1195805280,"""version 7RS(19) of 07/07/92""",NYA,KC1,KAN05,1958/05/28,0,0:00PM,day,false,nappl901,ricej901,romme101,stevj901,"""NYA""","""Marc Stephenson""",1999/06/08 10:52PM,park,none,0,unknown,-1,unknown,unknown,sunny,145,13937,maasd101,sturt101,,,"""Marc Stephenson""",,
KC1195805301,"""version 7RS(19) of 07/07/92""",CLE,KC1,KAN05,1958/05/30,1,0:00,day,false,hurle901,runge901,tabaf901,papaj901,,"""Schlewitz""",1999/08/01 6:19PM,park,none,0,unknown,-1,unknown,unknown,unknown,148,12314,narlr101,terrr101,,,"""Schlewitz""",,
