Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA▲,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
50,Masahiro Tanaka,30,NYY,AL,1.9,11,9,.550,4.45,32,31,0,1,1,0,182.0,186,95,90,28,40,0,149,2,0,7,759,100,4.27,1.242,9.2,1.4,2.0,7.4,3.73,AS,tanakma01
51,Jon Lester,35,CHC,NL,0.8,13,10,.565,4.46,31,31,0,0,0,0,171.2,205,101,85,26,52,0,165,5,0,3,764,99,4.26,1.497,10.7,1.4,2.7,8.7,3.17,,lestejo01
52,Trevor Bauer,28,2TM,2LG,1.4,11,13,.458,4.48,34,34,0,1,1,0,213.0,184,118,106,34,82,0,253,19,0,10,911,105,4.34,1.249,7.8,1.4,3.5,10.7,3.09,,bauertr01
,League Average,,,,,,,.500,4.51,,,,,,,,,,,,,,,,,,,100,4.50,1.334,8.7,1.4,3.3,8.9,2.69,,-9999
53,Matthew Boyd,28,DET,AL,3.8,9,12,.429,4.56,32,32,0,0,0,0,185.1,178,101,94,39,50,1,238,8,4,6,788,104,4.32,1.230,8.6,1.9,2.4,11.6,4.76,,boydma01
54,Homer Bailey,33,2TM,AL,2.2,13,9,.591,4.57,31,31,0,0,0,0,163.1,162,84,83,21,53,1,149,4,1,4,696,100,4.11,1.316,8.9,1.2,2.9,8.2,2.81,,baileho02
55,Jose Quintana,30,CHC,NL,0.8,13,9,.591,4.68,32,31,0,0,0,0,171.0,191,100,89,20,46,0,152,2,0,11,745,94,3.80,1.386,10.1,1.1,2.4,8.0,3.30,,quintjo01
56,Iván Nova,32,CHW,AL,1.9,11,12,.478,4.72,34,34,0,2,0,0,187.0,225,107,98,30,47,1,114,9,0,7,806,97,4.98,1.455,10.8,1.4,2.3,5.5,2.43,,novaiv01
57,Germán Márquez,24,COL,NL,2.8,12,5,.706,4.76,28,28,0,1,1,0,174.0,174,96,92,29,35,0,175,5,1,14,721,108,4.06,1.201,9.0,1.5,1.8,9.1,5.00,,marquge01
58,Dylan Bundy,26,BAL,AL,2.1,7,14,.333,4.79,30,30,0,0,0,0,161.2,161,95,86,29,58,0,162,6,1,7,700,99,4.73,1.355,9.0,1.6,3.2,9.0,2.79,,bundydy01
59,J.A. Happ,36,NYY,AL,1.4,12,8,.600,4.91,31,30,0,0,0,0,161.1,160,88,88,34,49,1,140,5,0,3,678,90,5.22,1.295,8.9,1.9,2.7,7.8,2.86,,happja01
60,Martín Pérez,28,MIN,AL,0.4,10,7,.588,5.12,32,29,0,0,0,0,165.1,184,104,94,23,67,1,135,3,1,3,737,89,4.66,1.518,10.0,1.3,3.6,7.3,2.01,,perezma02
61,Jakob Junis,26,KCR,AL,1.3,9,14,.391,5.24,31,31,0,0,0,0,175.1,192,108,102,31,58,1,164,11,0,4,771,91,4.82,1.426,9.9,1.6,3.0,8.4,2.83,,junisja01
62,Reynaldo López,25,CHW,AL,0.3,10,15,.400,5.38,33,33,0,1,0,0,184.0,203,119,110,35,65,0,169,8,2,5,809,85,5.04,1.457,9.9,1.7,3.2,8.3,2.60,,lopezre01
63,Yusei Kikuchi,28,SEA,AL,0.2,6,11,.353,5.46,32,32,0,1,1,0,161.2,195,109,98,36,50,0,116,6,1,5,721,80,5.71,1.515,10.9,2.0,2.8,6.5,2.32,,kikucyu01
64,Rick Porcello,30,BOS,AL,0.8,14,12,.538,5.52,32,32,0,0,0,0,174.1,198,114,107,31,45,2,143,6,2,5,768,88,4.76,1.394,10.2,1.6,2.3,7.4,3.18,,porceri01
