game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,scorer,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,oscorer,howentered,gametype,umplf,umprf
DET195208010,"""version 7RS(19) of 07/07/92""",BOS,DET,1952/08/01,DET04,0,0:00PM,night,false,mckib901,stevj901,nappl901,summb901,"""115""","""Bob Kistler""","""Greg Beston""",1998/08/27 8:12PM,unknown,none,0,unknown,-1,unknown,unknown,night,130,37412,parnm101,wighb101,,,,,,,
DET195208020,"""version 7RS(19) of 07/07/92""",BOS,DET,1952/08/02,DET04,0,0:00PM,day,false,stevj901,nappl901,summb901,mckib901,"""115""","""Bob Kistler""","""Greg Beston""",1998/08/27 8:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,10834,troud101,newhh101,bricr101,,,,,,
DET195208030,"""version 7RS(19) of 07/07/92""",BOS,DET,1952/08/03,DET04,0,0:00PM,day,false,nappl901,summb901,mckib901,stevj901,"""115""","""Bob Kistler""","""Greg Beston""",1998/08/29 12:51PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,123,17659,houta101,brodd101,,,,,,,
DET195208130,"""version 7RS(19) of 07/07/92""",CHA,DET,1952/08/13,DET04,0,0:00PM,night,false,hurle901,soarh901,(none),froeg901,"""CHA""","""D Lamoureaux""","""D Lamoureaux""",2003/01/28 2:42PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,146,23951,dobsj101,wighb101,,,,,,,
DET195208140,"""version 7RS(19) of 07/07/92""",CHA,DET,1952/08/14,DET04,0,0:00PM,day,false,soarh901,froeg901,(none),hurle901,"""CHA""","""D Lamoureaux""","""D Lamoureaux""",2003/02/02 7:58PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,6994,grism101,houta101,aloml101,,,,,,
DET195208171,"""version 7RS(19) of 07/07/92""",SLA,DET,1952/08/17,DET04,1,0:00PM,day,false,passa901,hurle901,nappl901,froeg901,"""56,102,208,276""","""Richard Weston/Smith""","""David W. Smith""",2011/10/30 4:31PM,park,none,0,unknown,-1,unknown,unknown,unknown,151,0,bearg102,newhh101,harre101,,,,,,
DET195208281,"""version 7RS(19) of 07/07/92""",CLE,DET,1952/08/28,DET04,1,0:00PM,day,false,passa901,robbs901,grieb901,honoj901,"""CLE""","""D Lamoureaux""","""D Lamoureaux""",2003/02/12 6:49PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,149,0,wynne101,grayt101,,,,,,,
DET195208282,"""version 7RS(19) of 07/07/92""",CLE,DET,1952/08/28,DET04,2,0:00PM,night,false,robbs901,grieb901,honoj901,passa901,"""CLE""","""D Lamoureaux""","""D Lamoureaux""",2003/02/12 6:57PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,149,53988,newhh101,groms101,,,,,,,
DET195208290,"""version 7RS(19) of 07/07/92""",CLE,DET,1952/08/29,DET04,0,0:00PM,day,false,grieb901,honoj901,passa901,robbs901,"""291""","""Comly""","""Comly""",2010/09/09 9:05PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,147,8130,lemob101,trucv101,,,,,,,
DET195209060,"""version 7RS(19) of 07/07/92""",CHA,DET,1952/09/06,DET04,0,0:00PM,day,false,duffj901,romme101,berrc103,papaj901,"""CHA""","""D Lamoureaux""","""D Lamoureaux""",2003/02/14 7:08PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,183,4949,dorif101,whith101,,,,,,,
DET195209070,"""version 7RS(19) of 07/07/92""",CHA,DET,1952/09/07,DET04,0,0:00PM,day,false,romme101,berrc103,papaj901,duffj901,"""CHA""","""D Lamoureaux""","""D Lamoureaux""",2003/02/15 2:30PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,142,11290,grayt101,grism101,,,,,,,
DET195209090,"""version 7RS(19) of 07/07/92""",BOS,DET,1952/09/09,DET04,0,0:00PM,day,false,hurle901,mckib901,nappl901,soarh901,"""115""","""Bob Kistler""","""Greg Beston""",1998/09/01 11:17PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,149,3718,houta101,deloi101,,,,,,,
DET195209100,"""version 7RS(19) of 07/07/92""",BOS,DET,1952/09/10,DET04,0,0:00PM,day,false,mckib901,nappl901,soarh901,hurle901,"""115""","""Bob Kistler""","""Greg Beston""",1998/09/02 12:28AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,139,3079,wighb101,parnm101,,,,,,,
DET195209110,"""version 7RS(19) of 07/07/92""",BOS,DET,1952/09/11,DET04,0,0:00PM,day,false,nappl901,soarh901,hurle901,mckib901,"""115""","""Bob Kistler""","""Greg Beston""",1998/09/02 12:54AM,unknown,none,90,unknown,-1,unknown,unknown,unknown,136,3550,madid101,benta101,hoefb101,,,,,,
DET195209120,"""version 7RS(19) of 07/07/92""",PHA,DET,1952/09/12,DET04,0,0:00PM,day,false,soarh901,hurle901,mckib901,nappl901,"""253""","""Comly/RWood""","""Comly/RWood""",2008/05/14 11:14AM,unknown,none,0,unknown,-1,unknown,unknown,unknown,162,1828,fricm101,marld101,,,,,,,
DET195209130,"""version 7RS(19) of 07/07/92""",PHA,DET,1952/09/13,DET04,0,0:00PM,day,false,hurle901,mckib901,nappl901,soarh901,"""150""","""D Lamoureaux""","""D Lamoureaux""",2003/08/07 6:02PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,167,5985,newsb101,hoefb101,byrdh101,,,,,,
DET195209140,"""version 7RS(19) of 07/07/92""",WS1,DET,1952/09/14,DET04,0,0:00PM,day,false,papaj901,duffj901,romme101,berrc103,"""WS1""","""D Lamoureaux""","""D Lamoureaux""",2003/02/23 3:52PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,106,7954,marrc101,grayt101,,,,,,,
DET195209150,"""version 7RS(19) of 07/07/92""",WS1,DET,1952/09/15,DET04,0,0:00PM,day,false,duffj901,romme101,berrc103,papaj901,"""WS1""","""D Lamoureaux""","""D Lamoureaux""",2003/02/23 4:05PM,unknown,none,0,unknown,-1,unknown,unknown,unknown,140,1239,newhh101,fornm101,,,,,,,
