game_id,date,hometeam,visteam,site,number,home_final,visitor_final,home_win,visitor_travel_km,is_series_opener,tz_change,sig_travel
ARI202009080,2020-09-08,ARI,LAN,PHO01,0,3,4,0,1050.8161105458894,True,1,1
ARI202107300,2021-07-30,ARI,LAN,PHO01,0,1,0,1,1050.8161105458894,True,1,1
ARI202109250,2021-09-25,ARI,LAN,PHO01,0,2,1,1,942.3364167649689,True,1,1
ARI202204260,2022-04-26,ARI,LAN,PHO01,0,2,0,1,480.8589832027718,True,1,1
ARI202205260,2022-05-26,ARI,LAN,PHO01,0,0,2,0,3182.590153156237,True,1,1
ARI202205290,2022-05-29,ARI,LAN,PHO01,0,1,0,1,0.0,True,1,1
ARI202209120,2022-09-12,ARI,LAN,PHO01,0,0,3,0,480.8589832027718,True,1,1
ARI202209140,2022-09-14,ARI,LAN,PHO01,0,3,1,1,0.0,True,1,1
ARI202304070,2023-04-07,ARI,LAN,PHO01,0,2,0,1,480.8589832027718,True,1,1
ARI202308080,2023-08-08,ARI,LAN,PHO01,0,2,1,1,480.8589832027718,True,1,1
ARI202404300,2024-04-30,ARI,LAN,PHO01,0,2,1,1,3036.5150031120397,True,1,1
ARI202408300,2024-08-30,ARI,LAN,PHO01,0,4,0,1,2043.7540516750682,True,1,1
ARI201403230,2014-03-23,ARI,LAN,SYD01,0,4,0,1,1050.8161105458894,True,1,1
ARI201306170,2013-06-17,ARI,MIA,PHO01,0,0,1,0,3443.6976589600267,True,-2,1
ARI201407080,2014-07-08,ARI,MIA,PHO01,0,0,2,0,2043.7540516750682,True,-2,1
ARI201709220,2017-09-22,ARI,MIA,PHO01,0,1,0,1,2352.946733972739,True,-2,1
ARI201806010,2018-06-01,ARI,MIA,PHO01,0,1,0,1,480.8589832027718,True,-2,1
ARI201909170,2019-09-17,ARI,MIA,PHO01,0,1,0,1,1050.8161105458894,True,-2,1
ARI202105110,2021-05-11,ARI,MIA,PHO01,0,5,0,1,3182.590153156237,True,-2,1
ARI202205100,2022-05-10,ARI,MIA,PHO01,0,3,1,1,480.8589832027718,True,-2,1
ARI202305080,2023-05-08,ARI,MIA,PHO01,0,0,1,0,2336.340987950822,True,-2,1
ARI202305100,2023-05-10,ARI,MIA,PHO01,0,0,1,0,0.0,True,-2,1
ARI201307110,2013-07-11,ARI,MIL,PHO01,0,2,0,1,3182.590153156237,True,-1,1
ARI201406160,2014-06-16,ARI,MIL,PHO01,0,0,3,0,3443.6976589600267,True,-1,1
ARI201507230,2015-07-23,ARI,MIL,PHO01,0,2,3,0,574.265826359301,True,-1,1
ARI201608050,2016-08-05,ARI,MIL,PHO01,0,1,0,1,480.8589832027718,True,-1,1
ARI201706110,2017-06-11,ARI,MIL,PHO01,0,5,1,1,3443.6976589600267,True,-1,1
ARI201805140,2018-05-14,ARI,MIL,PHO01,0,0,3,0,942.3364167649689,True,-1,1
ARI201907180,2019-07-18,ARI,MIL,PHO01,0,0,1,0,2937.012811582416,True,-1,1
ARI201907200,2019-07-20,ARI,MIL,PHO01,0,0,3,0,0.0,True,-1,1
ARI202209030,2022-09-03,ARI,MIL,PHO01,0,0,2,0,574.265826359301,True,-1,1
ARI202304110,2023-04-11,ARI,MIL,PHO01,0,1,1,0,2538.7391290003966,True,-1,1
ARI202409140,2024-09-14,ARI,MIL,PHO01,0,0,2,0,1050.8161105458894,True,-1,1
ARI201605160,2016-05-16,ARI,NYA,PHO01,0,3,0,1,3219.4130448980713,True,-2,1
ARI201605180,2016-05-18,ARI,NYA,PHO01,0,0,1,0,0.0,True,-2,1
ARI201904300,2019-04-30,ARI,NYA,PHO01,0,1,0,1,1050.8161105458894,True,-2,1
ARI202404020,2024-04-02,ARI,NYA,PHO01,0,1,0,1,1632.166881529229,True,-2,1
ARI201308090,2013-08-09,ARI,NYN,PHO01,0,1,0,1,3184.6442165813946,True,-2,1
ARI201308110,2013-08-11,ARI,NYN,PHO01,0,0,1,0,0.0,True,-2,1
