mlbam_pitcher_id,player_name,tempo_be_sec,tempo_ro_sec
544928,"Lyons, Tyler",13.702,13.702
641778,"Lauer, Eric",13.735,13.735
527048,"Pérez, Martín",13.752,13.752
663554,"Mize, Casey",13.755,13.755
664350,"Sánchez, Sixto",13.756,13.756
676840,"Peacock, Matt",13.762,13.762
672851,"Adon, Joan",13.776,13.776
678394,"Bello, Brayan",13.778,13.778
449173,"Harrell, Lucas",13.784,13.784
593334,"Germán, Domingo",13.793,13.793
605151,"Bradley, Archie",13.807,13.807
572362,"Erlin, Robbie",13.807,13.807
621242,"Díaz, Edwin",13.826,13.826
641771,"Kuhl, Chad",13.826,13.826
656849,"Peterson, David",13.83,13.83
621383,"Banks, Tanner",13.834,13.834
276520,"Arroyo, Bronson",13.847,13.847
642545,"Barria, Jaime",13.853,13.853
621107,"Eflin, Zach",13.863,13.863
573186,"Stroman, Marcus",13.875,13.875
571578,"Corbin, Patrick",13.881,13.881
641302,"Alexander, Tyler",13.881,13.881
572020,"Paxton, James",13.889,13.889
674003,"Bradford, Cody",13.904,13.904
671922,"Smith, Cade",13.915,13.915
605228,"Fernández, José",13.916,13.916
542881,"Anderson, Tyler",13.924,13.924
642558,"Jurado, Ariel",13.947,13.947
630023,"Chirinos, Yonny",13.953,13.953
680885,"Schwellenbach, Spencer",13.959,13.959
687792,"Herz, DJ",13.975,13.975
669456,"Bieber, Shane",13.989,13.989
136880,"Halladay, Roy",13.995,13.995
672710,"Contreras, Roansy",14.009,14.009
519242,"Sale, Chris",14.014,14.014
608566,"Márquez, Germán",14.014,14.014
605154,"Brebbia, John",14.027,14.027
573064,"Nuño, Vidal",14.038,14.038
596057,"Norris, Daniel",14.047,14.047
573185,"Straily, Dan",14.047,14.047
596133,"Weaver, Luke",14.047,14.047
680570,"Rodriguez, Grayson",14.059,14.059
665795,"Cabrera, Edward",14.067,14.067
645261,"Alcantara, Sandy",14.069,14.069
450203,"Morton, Charlie",14.074,14.074
663658,"Ward, Thaddeus",14.075,14.075
543294,"Hendricks, Kyle",14.097,14.097
456167,"Griffin, A.J.",14.1,14.1
432934,"Young, Chris",14.101,14.101
666129,"Garrett, Braxton",14.105,14.105
657006,"Steele, Justin",14.115,14.115
516589,"Rienzo, André",14.117,14.117
543726,"Ross Jr., Robbie",14.123,14.123
676272,"Miller, Bobby",14.128,14.128
592426,"Jackson, Luke",14.14,14.14
502327,"Santiago, Héctor",14.142,14.142
547942,"Kim, Kwang Hyun",14.142,14.142
643511,"Rogers, Tyler",14.144,14.144
606131,"Perdomo, Luis",14.148,14.148
435178,"Johnson, Josh",14.157,14.157
519455,"Zimmermann, Jordan",14.163,14.163
647336,"Soroka, Michael",14.175,14.175
429717,"Haren, Dan",14.179,14.179
657746,"Ryan, Joe",14.179,14.179
547179,"Lorenzen, Michael",14.18,14.18
664139,"Gibaut, Ian",14.184,14.184
624133,"Suárez, Ranger",14.184,14.184
458550,"Hefner, Jeremy",14.188,14.188
593974,"Peralta, Wandy",14.194,14.194
663623,"Irvin, Jake",14.217,14.217
686218,"Sheehan, Emmet",14.218,14.218
672456,"Montero, Keider",14.223,14.223
621111,"Buehler, Walker",14.245,14.245
607229,"Gsellman, Robert",14.248,14.248
682227,"Williamson, Brandon",14.249,14.249
543031,"Cloyd, Tyler",14.25,14.25
689147,"Kerkering, Orion",14.255,14.255
676979,"Crochet, Garrett",14.257,14.257
