home_team,fringe_side,quadrant,first_inning,n,csr,exp,ocs
AZ,bottom,Bottom-Left,0,210,0.9333333333333333,0.9686028260235527,-0.035269492690219395
AZ,bottom,Bottom-Left,1,25,0.8,0.9661582827238939,-0.16615828272389388
AZ,bottom,Bottom-Right,0,193,0.8963730569948186,0.9579358393973981,-0.06156278240257951
AZ,bottom,Bottom-Right,1,21,1.0,0.9572372885168141,0.04276271148318589
AZ,bottom,OZ,0,659,0.4537177541729894,0.3081257961960896,0.14559195797689978
AZ,bottom,OZ,1,99,0.4444444444444444,0.29768513380137507,0.14675931064306935
AZ,left,Bottom-Left,0,168,0.8988095238095238,0.969129597428356,-0.07032007361883219
AZ,left,Bottom-Left,1,34,0.9705882352941176,0.9681548525028713,0.0024333827912463857
AZ,left,OZ,0,689,0.3991291727140784,0.3150146733071324,0.08411449940694599
AZ,left,OZ,1,79,0.4430379746835443,0.3055031769983549,0.1375347976851894
AZ,left,Top-Left,0,163,0.8404907975460123,0.9652907831559034,-0.12479998560989114
AZ,left,Top-Left,1,18,0.6666666666666666,0.9630890162239252,-0.29642234955725855
AZ,right,Bottom-Right,0,213,0.8779342723004695,0.9575540818936804,-0.07961980959321091
AZ,right,Bottom-Right,1,32,0.8125,0.9555523641101772,-0.1430523641101772
AZ,right,OZ,0,676,0.378698224852071,0.303176662279636,0.07552156257243497
AZ,right,OZ,1,92,0.3695652173913043,0.3050407575518085,0.06452445983949584
AZ,right,Top-Right,0,137,0.8905109489051095,0.9701331381238081,-0.07962218921869857
AZ,right,Top-Right,1,26,0.8076923076923077,0.971463526349864,-0.16377121865755628
AZ,top,OZ,0,443,0.4018058690744921,0.30784471212346015,0.09396115695103197
AZ,top,OZ,1,67,0.44776119402985076,0.29596009452839905,0.1518010995014517
AZ,top,Top-Left,0,140,0.8857142857142857,0.9642463082962719,-0.07853202258198622
AZ,top,Top-Left,1,21,0.9523809523809523,0.9626102634369521,-0.010229311055999779
AZ,top,Top-Right,0,110,0.9272727272727272,0.9689892835304448,-0.04171655625771753
AZ,top,Top-Right,1,21,0.8095238095238095,0.9704350583431288,-0.16091124881931929
BAL,bottom,Bottom-Left,0,132,0.9318181818181818,0.9685807215824783,-0.03676253976429655
BAL,bottom,Bottom-Left,1,16,0.9375,0.9642034270323655,-0.0267034270323655
BAL,bottom,Bottom-Right,0,138,0.8985507246376812,0.9576250966052191,-0.05907437196753795
BAL,bottom,Bottom-Right,1,12,0.9166666666666666,0.9540861826370602,-0.03741951597039361
BAL,bottom,OZ,0,526,0.47338403041825095,0.3043926701928368,0.16899136022541417
BAL,bottom,OZ,1,77,0.44155844155844154,0.2994695537425943,0.14208888781584722
BAL,left,Bottom-Left,0,140,0.9571428571428572,0.970460844050933,-0.01331798690807584
BAL,left,Bottom-Left,1,19,0.9473684210526315,0.9665938448368718,-0.019225423784240303
BAL,left,OZ,0,513,0.43859649122807015,0.31396003339378675,0.1246364578342834
BAL,left,OZ,1,78,0.4358974358974359,0.30422389235455544,0.13167354354288047
BAL,left,Top-Left,0,133,0.9097744360902256,0.9646872100826207,-0.054912773992395136
BAL,left,Top-Left,1,26,0.9230769230769231,0.9621408894513792,-0.03906396637445608
BAL,right,Bottom-Right,0,145,0.8620689655172413,0.9584731639370913,-0.09640419841984993
BAL,right,Bottom-Right,1,24,0.9166666666666666,0.9574282034214988,-0.040761536754832184
BAL,right,OZ,0,558,0.3548387096774194,0.29986626084070156,0.05497244883671781
BAL,right,OZ,1,68,0.4117647058823529,0.29927265067502073,0.11249205520733219
BAL,right,Top-Right,0,114,0.9298245614035088,0.9708357755776588,-0.04101121417414999
BAL,right,Top-Right,1,18,0.8888888888888888,0.9661657481463306,-0.07727685925744177
