team,intercept,beta_home,beta_opp_era,beta_travel,mean_opp_ERA,mean_travel_home,mean_travel_away,mu_home,mu_away,home_advantage
MIL,-0.9288602449445775,0.4685502383810051,0.14689222919631179,-0.4083404405696209,-2.3684757858670006e-16,-0.042909340208300444,0.04239236020579096,0.6422430992623489,0.388224786685596,0.2540183125767529
MIN,-0.6322324512944821,0.07171378426532894,0.10013618149150387,0.01602563593464034,3.0428334748985774e-16,-0.10441724452581307,0.10441724452581302,0.5699583335986012,0.5322941129302978,0.03766422066830333
NYA,-0.5192332638826146,0.010726208808684386,0.16365629109252086,0.00017950955270249345,1.555932998014818e-16,-0.02728534403705112,0.026889904268398244,0.6013898095881849,0.5949794351018042,0.00641037448638071
NYN,-1.446063856190887,0.7534427057588079,0.2694068187832227,0.13613119156150566,-1.214306433183765e-16,0.029850257287713088,-0.028931787832706505,0.5023000647399708,0.23456973100349918,0.2677303337364716
OAK,-0.8260228292415767,0.08490431350171257,0.003710748782284625,-0.4219436097852967,2.157004733557447e-16,0.20795072379884152,-0.20795072379884152,0.4365457951393536,0.47793556817731025,-0.041389773037956656
PHI,-0.7380197028986333,0.09123257913595699,0.1139302491097121,-0.17120233375161215,-9.415545266532577e-16,0.10114954258641891,-0.10377680343281961,0.5147344401471577,0.48662918552335555,0.0281052546238022
PIT,-0.6417676350890684,0.020893562256870283,0.2925799131498784,-0.056226391129889336,-1.7225278442669095e-16,0.11892760992129585,-0.11749474715115965,0.5338924081733494,0.5298500009967815,0.004042407176567897
SDN,-0.5099263280319918,-0.09268946596442545,-0.06795299100416446,0.1867662917350116,-4.557757680040117e-16,0.12367570458227856,-0.12367570458227804,0.560168671625071,0.5868272586425111,-0.02665858701744006
SEA,-0.8354838534064041,-0.029113374610419407,0.22225919811537828,0.18930627920981744,1.661340928935486e-16,0.229730523166176,-0.23305995103815047,0.43994401559234325,0.4149473785066424,0.02499663708570088
SFN,-0.6568306054892855,-0.15422939074127584,0.16519965910697712,0.40213246258645163,-3.846887422905001e-16,0.18911451820388508,-0.18672066354307687,0.4795002279276275,0.48098603347346724,-0.001485805545839769
SLN,-0.9239645277632224,0.2833735380012499,0.509327549558574,0.10690284214995371,-3.9681519718860434e-16,-0.07768472382740872,0.07473467102383669,0.5226225864055503,0.40012624105702416,0.1224963453485261
TEX,-0.5964203674850741,0.2700625128233191,0.24055842252677337,0.07386640680192813,-5.351844323834088e-16,-0.02174924653700638,0.022314162031473926,0.7203886698729239,0.5516882810171938,0.16870038885573013
TOR,-0.7682431581555415,0.31001683493555926,0.0634857790293889,0.03936511249934426,8.651088503572648e-18,0.2160907988140056,-0.22177739878279523,0.6378067860951736,0.4597955014512816,0.178011284643892
WAS,-0.4582478692459287,-0.18158659382226633,0.18611389603212547,0.21684042589920127,-3.7007434154171886e-16,0.14134526276513232,-0.14134526276513204,0.5437938282815482,0.6133023490216603,-0.06950852074011205
