Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA▲,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
15,Sandy Alcantara,25,MIA,NL,4.2,9,15,.375,3.19,33,33,0,1,0,0,205.2,171,85,73,21,50,2,201,10,1,6,837,132,3.42,1.075,7.5,0.9,2.2,8.8,4.02,,alcansa01
16,Gerrit Cole,30,NYY,AL,5.7,16,8,.667,3.23,30,30,0,2,1,0,181.1,151,69,65,24,41,0,243,2,1,5,726,133,2.92,1.059,7.5,1.2,2.0,12.1,5.93,ASCYA-2MVP-15,colege01
17,Charlie Morton,37,ATL,NL,3.9,14,6,.700,3.34,33,33,0,0,0,0,185.2,136,77,69,16,58,1,216,17,0,5,756,130,3.18,1.045,6.6,0.8,2.8,10.5,3.72,,mortoch02
18,Wade Miley,34,CIN,NL,5.3,12,7,.632,3.37,28,28,0,1,1,0,163.0,166,64,61,17,50,0,125,3,0,2,690,139,3.97,1.325,9.2,0.9,2.8,6.9,2.50,,mileywa01
19,Frankie Montas,28,OAK,AL,3.7,13,9,.591,3.37,32,32,0,0,0,0,187.0,164,79,70,20,57,1,207,7,0,11,778,122,3.37,1.182,7.9,1.0,2.7,10.0,3.63,CYA-6,montafr02
20,José Berríos,27,2TM,AL,3.4,12,9,.571,3.52,32,32,0,1,0,0,192.0,159,83,75,22,45,0,204,15,0,3,781,123,3.47,1.063,7.5,1.0,2.1,9.6,4.53,CYA-9,berrijo01
21,Lucas Giolito,26,CHW,AL,4.3,11,9,.550,3.53,31,31,0,1,0,0,178.2,145,74,70,27,52,1,201,2,0,12,720,124,3.79,1.103,7.3,1.4,2.6,10.1,3.87,CYA-11,giolilu01
22,Chris Flexen,26,SEA,AL,3.4,14,6,.700,3.61,31,31,0,0,0,0,179.2,185,74,72,19,40,0,125,4,0,2,741,114,3.89,1.252,9.3,1.0,2.0,6.3,3.13,,flexech01
23,Kyle Gibson,33,2TM,2LG,3.5,10,9,.526,3.71,31,30,0,0,0,0,182.0,158,78,75,17,64,2,155,8,1,2,754,117,3.87,1.220,7.8,0.8,3.2,7.7,2.42,AS,gibsoky01
24,Tyler Mahle,26,CIN,NL,4.9,13,6,.684,3.75,33,33,0,0,0,0,180.0,158,78,75,24,64,0,210,10,0,4,759,125,3.80,1.233,7.9,1.2,3.2,10.5,3.28,,mahlety01
25,Nathan Eovaldi,31,BOS,AL,4.3,11,9,.550,3.75,32,32,0,0,0,0,182.1,182,81,76,15,35,2,195,7,0,6,764,125,2.79,1.190,9.0,0.7,1.7,9.6,5.57,ASCYA-4MVP-15,eovalna01
26,Dylan Cease,25,CHW,AL,3.0,13,7,.650,3.91,32,32,0,1,1,0,165.2,139,77,72,20,68,0,226,9,2,13,708,112,3.41,1.249,7.6,1.1,3.7,12.3,3.32,,ceasedy01
27,Sean Manaea,29,OAK,AL,3.2,11,10,.524,3.91,32,32,0,2,2,0,179.1,179,79,78,25,41,0,194,9,1,5,754,105,3.66,1.227,9.0,1.3,2.1,9.7,4.73,,manaese01
28,Luis Castillo,28,CIN,NL,4.2,8,16,.333,3.98,33,33,0,0,0,0,187.2,181,94,83,19,75,4,192,7,1,1,803,117,3.75,1.364,8.7,0.9,3.6,9.2,2.56,,castilu02
29,Zack Greinke,37,HOU,AL,1.1,11,6,.647,4.16,30,29,0,1,0,0,171.0,164,82,79,30,36,0,120,2,0,3,697,103,4.71,1.170,8.6,1.6,1.9,6.3,3.33,,greinza01
30,Yu Darvish,34,SDP,NL,1.4,8,11,.421,4.22,30,30,0,0,0,0,166.1,138,81,78,28,44,1,199,8,0,9,681,92,3.90,1.094,7.5,1.5,2.4,10.8,4.52,AS,darviyu01
31,Cole Irvin,27,OAK,AL,1.4,10,15,.400,4.24,32,32,0,0,0,0,178.1,195,94,84,23,42,0,125,9,0,3,768,97,4.30,1.329,9.8,1.2,2.1,6.3,2.98,,irvinco01
,League Average,,,,,,,.500,4.27,,,,,,,,,,,,,,,,,,,100,4.27,1.297,8.3,1.3,3.3,8.9,2.67,,-9999
32,Hyun Jin Ryu,34,TOR,AL,2.0,14,10,.583,4.37,31,31,0,1,1,0,169.0,170,85,82,24,37,0,143,2,0,2,701,102,4.02,1.225,9.1,1.3,2.0,7.6,3.86,,ryuhy01
33,Germán Márquez,26,COL,NL,2.4,12,11,.522,4.40,32,32,0,3,1,0,180.0,165,92,88,21,64,5,176,4,0,15,756,109,3.86,1.272,8.3,1.1,3.2,8.8,2.75,AS,marquge01
34,Tyler Anderson,31,2TM,2LG,1.7,7,11,.389,4.53,31,31,0,0,0,0,167.0,170,87,84,27,38,2,134,1,1,1,703,93,4.37,1.246,9.2,1.5,2.0,7.2,3.53,,anderty01
35,Aaron Nola,28,PHI,NL,2.5,9,9,.500,4.63,32,32,0,1,1,0,180.2,165,95,93,26,39,1,223,9,1,0,749,90,3.37,1.129,8.2,1.3,1.9,11.1,5.72,,nolaaa01
36,Kyle Hendricks,31,CHC,NL,0.8,14,7,.667,4.77,32,32,0,1,0,0,181.0,200,101,96,31,44,3,131,13,0,2,785,88,4.89,1.348,9.9,1.5,2.2,6.5,2.98,,hendrky01
37,Jordan Lyles,30,TEX,AL,0.0,10,13,.435,5.15,32,30,1,0,0,0,180.0,194,104,103,38,56,0,146,7,0,9,769,86,5.34,1.389,9.7,1.9,2.8,7.3,2.61,,lylesjo01
38,Dallas Keuchel,33,CHW,AL,0.1,9,9,.500,5.28,32,30,0,0,0,0,162.0,189,105,95,25,59,1,95,7,0,5,720,83,5.23,1.531,10.5,1.4,3.3,5.3,1.61,GG,keuchda01
39,Patrick Corbin,31,WSN,NL,-1.2,9,16,.360,5.82,31,31,0,0,0,0,171.2,192,114,111,37,60,2,143,3,0,0,751,70,5.41,1.468,10.1,1.9,3.1,7.5,2.38,,corbipa01
