game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,umphome,ump1b,ump2b,ump3b,translator,inputter,inputtime,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,scorer,oscorer
NYA195608110,"""version 7RS(19) of 07/07/92""",BAL,NYA,1956/08/11,NYC16,0,0:00PM,day,false,nappl901,umonf901,berrc103,honoj901,"""Luke Kraemer""","""Luke Kraemer""",1998/01/03 9:10PM,park,none,0,unknown,-1,unknown,unknown,unknown,168,15008,browh101,terrr101,,,,
NYA195608121,"""version 7RS(19) of 07/07/92""",BAL,NYA,1956/08/12,NYC16,1,0:00PM,day,false,umonf901,berrc103,honoj901,nappl901,"""Luke Kraemer""","""Luke Kraemer""",1998/01/03 11:12PM,park,none,0,unknown,-1,unknown,unknown,unknown,145,0,larsd102,ferrd102,,,,
NYA195608122,"""version 7RS(19) of 07/07/92""",BAL,NYA,1956/08/12,NYC16,2,0:00PM,day,false,berrc103,honoj901,nappl901,umonf901,"""Luke Kraemer""","""Luke Kraemer""",1998/01/03 11:20PM,park,none,0,unknown,-1,unknown,unknown,unknown,150,27178,morgt101,wighb101,,,,
NYA195608140,"""version 7RS(19) of 07/07/92""",BOS,NYA,1956/08/14,NYC16,0,0:00PM,night,false,stevj901,tabaf901,runge901,romme101,"""D Lamoureaux""","""D Lamoureaux""",2003/04/11 8:09PM,unknown,none,82,unknown,-1,unknown,unknown,unknown,142,52409,kuckj101,parnm101,,,"""NYA""",
NYA195608150,"""version 7RS(19) of 07/07/92""",BOS,NYA,1956/08/15,NYC16,0,0:00PM,day,false,tabaf901,runge901,romme101,stevj901,"""D Lamoureaux""","""D Lamoureaux""",2003/04/12 2:22PM,unknown,none,88,unknown,-1,unknown,unknown,unknown,177,33002,byrnt101,brewt101,sturt101,,"""NYA""",
NYA195608160,"""version 7RS(19) of 07/07/92""",BOS,NYA,1956/08/16,NYC16,0,0:00PM,day,false,runge901,romme101,stevj901,tabaf901,"""D Lamoureaux""","""D Lamoureaux""",2003/04/12 2:48PM,unknown,none,84,unknown,-1,unknown,unknown,unknown,143,21913,nixow101,larsd102,,,"""NYA""",
NYA195608210,"""version 7RS(19) of 07/07/92""",CLE,NYA,1956/08/21,NYC16,0,0:00PM,night,false,umonf901,berrc103,honoj901,nappl901,"""D Lamoureaux""","""D Lamoureaux""",2003/04/24 6:43PM,unknown,none,67,unknown,-1,unknown,unknown,overcast,170,39187,scorh101,larsd102,,,"""CLE/NYA""",
NYA195608220,"""version 7RS(19) of 07/07/92""",CLE,NYA,1956/08/22,NYC16,0,0:00PM,day,false,berrc103,honoj901,nappl901,umonf901,"""Luke Kraemer""","""Luke Kraemer""",2000/03/01 1:11PM,park,none,68,unknown,-1,unknown,unknown,overcast,138,23584,sturt101,wynne101,,,"""NYA & CLE""",
NYA195608231,"""version 7RS(19) of 07/07/92""",CHA,NYA,1956/08/23,NYC16,1,0:00PM,day,false,honoj901,nappl901,umonf901,berrc103,"""D Lamoureaux""","""D Lamoureaux""",2003/04/24 7:22PM,unknown,none,68,unknown,-1,unknown,unknown,unknown,157,0,keegb101,coler101,,,"""CHA/NYA""",
NYA195608232,"""version 7RS(19) of 07/07/92""",CHA,NYA,1956/08/23,NYC16,2,0:00PM,day,false,nappl901,umonf901,berrc103,honoj901,"""D Lamoureaux""","""D Lamoureaux""",2003/04/24 7:30PM,unknown,none,68,unknown,-1,unknown,unknown,unknown,192,22971,howed101,turlb101,lapap102,,"""CHA/NYA""",
