game_id,inputprogvers,visteam,hometeam,date,site,number,starttime,daynight,usedh,scorer,translator,inputter,inputtime,umphome,ump1b,ump2b,ump3b,howscored,pitches,temp,winddir,windspeed,fieldcond,precip,sky,timeofgame,attendance,wp,lp,save,gwrbi,gametype,oscorer
PHA192207081,"""version 7RS(19) of 07/07/92""",CHA,PHA,1922/07/08,PHI11,1,0:00PM,day,false,"""109""","""D Lamoureaux""","""D Lamoureaux""",2001/02/14 3:07AM,morig101,nalld901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,104,0,faber101,hastb101,,,,
PHA192207082,"""version 7RS(19) of 07/07/92""",CHA,PHA,1922/07/08,PHI11,2,0:00PM,day,false,"""109""","""D Lamoureaux""","""D Lamoureaux""",2001/02/14 3:16AM,nalld901,morig101,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,97,20000,naylr101,robec101,harrs101,,,
PHA192207100,"""version 7RS(19) of 07/07/92""",CHA,PHA,1922/07/10,PHI11,0,0:00PM,day,false,"""109,451""","""D Lamoureaux/Smith""","""D Lamoureaux/Smith""",2001/02/14 1:55PM,morig101,nalld901,(none),(none),unknown,none,0,unknown,-1,unknown,unknown,unknown,96,0,harrs101,leved101,,,,
PHA192207111,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/07/11,PHI11,1,0:00PM,day,false,"""56,266""","""Rob Wood""","""Rob Wood""",2022/05/21 10:18AM,nalld901,morig101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,102,0,romme101,pillh101,,,,
PHA192207112,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/07/11,PHI11,2,0:00PM,day,false,"""56,266""","""Rob Wood""","""Rob Wood""",2022/05/21 2:37PM,morig101,nalld901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,129,0,romme101,stonl101,,,,
PHA192207120,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/07/12,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/02 7:49PM,nalld901,morig101,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,121,0,daush101,naylr101,,,,
PHA192207130,"""version 7RS(19) of 07/07/92""",DET,PHA,1922/07/13,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/03 1:39PM,morig101,nalld901,(none),(none),park,none,0,unknown,-1,unknown,unknown,unknown,115,0,hastb101,ehmkh101,,,,
PHA192207150,"""version 7RS(19) of 07/07/92""",CLE,PHA,1922/07/15,PHI11,0,0:00PM,day,false,"""451""","""Cliff Blau""","""Cliff Blau""",2014/10/03 3:47PM,nalld901,chilo901,(none),walse101,park,none,0,unknown,-1,unknown,unknown,unknown,102,0,coves101,romme101,,,,
PHA192207170,"""version 7RS(19) of 07/07/92""",CLE,PHA,1922/07/17,PHI11,0,0:00PM,day,false,"""39""","""DWV""","""DWV""",1998/03/12 5:26PM,chilo901,walse101,(none),nalld901,park,none,0,unknown,-1,unknown,unknown,unknown,106,0,uhleg101,harrs101,,,,
PHA192207180,"""version 7RS(19) of 07/07/92""",CLE,PHA,1922/07/18,PHI11,0,0:00PM,day,false,"""39""","""DWV""","""DWV""",1998/03/12 7:30PM,walse101,chilo901,(none),nalld901,park,none,0,unknown,-1,unknown,unknown,unknown,102,0,mortg101,hastb101,,,,
