game_id,date,hometeam,visteam,home_first_inning_runs,visiting_first_inning_runs,home_ERA,vis_ERA,home_travel,vis_travel,home_last_location,visiting_last_location,home_avg_prev,away_avg_prev,home_OBP_x,away_OBP_x,home_OBP_y,away_OBP_y
CHN202404060,2024-04-06,CHN,LAN,0,0,5.48,3.0,1e-06,1e-06,CHN,CHN,0.5,2.0,0.302,0.339,0.302,0.339
KCA202404060,2024-04-06,KCA,CHA,0,0,3.35,4.95,1e-06,1e-06,KCA,KCA,1.0,0.0,0.319,0.273,0.319,0.273
ATL202404060,2024-04-06,ATL,ARI,0,6,2.62,13.97,1e-06,1e-06,ATL,ATL,1.0,3.0,0.313,0.328,0.313,0.328
MIL202404060,2024-04-06,MIL,SEA,0,0,5.02,2.94,1e-06,1e-06,MIL,MIL,0.0,0.0,0.317,0.315,0.317,0.315
SLN202404060,2024-04-06,SLN,MIA,0,0,5.08,4.92,1e-06,1e-06,SLN,SLN,0.0,0.0,0.315,0.292,0.315,0.292
CIN202404060,2024-04-06,CIN,NYN,0,0,4.5,6.2,1e-06,1e-06,CIN,CIN,0.3333333333333333,0.0,0.311,0.317,0.311,0.317
DET202404060,2024-04-06,DET,OAK,0,2,6.09,4.66,1e-06,1e-06,DET,DET,0.0,0.0,0.303,0.303,0.303,0.303
WAS202404070,2024-04-07,WAS,PHI,0,0,3.9,3.32,1e-06,1e-06,WAS,WAS,0.0,0.0,0.309,0.319,0.309,0.319
TEX202404070,2024-04-07,TEX,HOU,0,0,5.31,2.8,1e-06,1e-06,TEX,TEX,0.0,0.0,0.31,0.317,0.31,0.317
SLN202404070,2024-04-07,SLN,MIA,0,6,4.24,5.68,1e-06,1e-06,SLN,SLN,0.0,0.0,0.315,0.292,0.315,0.292
SFN202404070,2024-04-07,SFN,SDN,0,1,1.91,4.12,1e-06,1e-06,SFN,SFN,0.5,3.3333333333333335,0.307,0.33,0.307,0.33
